name,software,description,label,
dfs.namenode.http-bind-host,hdfs,"The actual adress the HTTP server will bind to. If this optional address is set, it overrides only the hostname portion of dfs.namenode.http-address. It can also be specified per name node or name service for HA/Federation. This is useful for making the name node HTTP server listen on all interfaces by setting it to 0.0.0.0.",environment,
dfs.namenode.heartbeat.recheck-interval,hdfs,"This time decides the interval to check for expired datanodes. With this value and dfs.heartbeat.interval, the interval of deciding the datanode is stale or not is also calculated. The unit of this configuration is millisecond.",reliability,
dfs.http.policy,hdfs,Decide if HTTPS(SSL) is supported on HDFS This configures the HTTP endpoint for HDFS daemons: The following values are supported: - HTTP_ONLY : Service is provided only on http - HTTPS_ONLY : Service is provided only on https - HTTP_AND_HTTPS : Service is provided both on http and https,security,
dfs.client.https.need-auth,hdfs,Whether SSL client certificate authentication is required,security,
dfs.client.cached.conn.retry,hdfs,"The number of times the HDFS client will pull a socket from the cache. Once this number is exceeded, the client will try to create a new socket.",reliability,
dfs.https.server.keystore.resource,hdfs,Resource file from which ssl server keystore information will be extracted,environment,
dfs.client.https.keystore.resource,hdfs,Resource file from which ssl client keystore information will be extracted,environment,
dfs.datanode.https.address,hdfs,The datanode secure http server address and port.,environment,
dfs.namenode.https-address,hdfs,The namenode secure http server address and port.,environment,
dfs.namenode.https-bind-host,hdfs,"The actual adress the HTTPS server will bind to. If this optional address is set, it overrides only the hostname portion of dfs.namenode.https-address. It can also be specified per name node or name service for HA/Federation. This is useful for making the name node HTTPS server listen on all interfaces by setting it to 0.0.0.0.",environment,
dfs.datanode.dns.interface,hdfs,The name of the Network Interface from which a data node should report its IP address. e.g. eth2. This setting may be required for some multi-homed nodes where the DataNodes are assigned multiple hostnames and it is desirable for the DataNodes to use a non-default hostname. Prefer using hadoop.security.dns.interface over dfs.datanode.dns.interface.,environment,
dfs.datanode.dns.nameserver,hdfs,The host name or IP address of the name server (DNS) which a DataNode should use to determine its own host name. Prefer using hadoop.security.dns.nameserver over dfs.datanode.dns.nameserver.,environment,
dfs.namenode.backup.address,hdfs,The backup node server address and port. If the port is 0 then the server will start on a free port.,environment,
dfs.namenode.backup.http-address,hdfs,The backup node http server address and port. If the port is 0 then the server will start on a free port.,environment,
dfs.namenode.replication.considerLoad,hdfs,Decide if chooseTarget considers the target's load or not,manageability,
dfs.namenode.replication.considerLoad.factor,hdfs,"The factor by which a node's load can exceed the average before being rejected for writes, only if considerLoad is true.",reliability,
dfs.default.chunk.view.size,hdfs,The number of bytes to view for a file on the browser.,manageability,
dfs.datanode.du.reserved.calculator,hdfs,"Determines the class of ReservedSpaceCalculator to be used for calculating disk space reservedfor non-HDFS data. The default calculator is ReservedSpaceCalculatorAbsolute which will use dfs.datanode.du.reserved for a static reserved number of bytes. ReservedSpaceCalculatorPercentage will use dfs.datanode.du.reserved.pct to calculate the reserved number of bytes based on the size of the storage. ReservedSpaceCalculatorConservative and ReservedSpaceCalculatorAggressive will use their combination, Conservative will use maximum, Aggressive minimum. For more details see ReservedSpaceCalculator.",performance,
dfs.datanode.du.reserved,hdfs,"Reserved space in bytes per volume. Always leave this much space free for non dfs use. Specific storage type based reservation is also supported. The property can be followed with corresponding storage types ([ssd]/[disk]/[archive]/[ram_disk]) for cluster with heterogeneous storage. For example, reserved space for RAM_DISK storage can be configured using property 'dfs.datanode.du.reserved.ram_disk'. If specific storage type reservation is not configured then dfs.datanode.du.reserved will be used.",performance,
dfs.datanode.du.reserved.pct,hdfs,"Reserved space in percentage. Read dfs.datanode.du.reserved.calculator to see when this takes effect. The actual number of bytes reserved will be calculated by using the total capacity of the data directory in question. Specific storage type based reservation is also supported. The property can be followed with corresponding storage types ([ssd]/[disk]/[archive]/[ram_disk]) for cluster with heterogeneous storage. For example, reserved percentage space for RAM_DISK storage can be configured using property 'dfs.datanode.du.reserved.pct.ram_disk'. If specific storage type reservation is not configured then dfs.datanode.du.reserved.pct will be used.",manageability,
dfs.namenode.name.dir,hdfs,"Determines where on the local filesystem the DFS name node should store the name table(fsimage). If this is a comma-delimited list of directories then the name table is replicated in all of the directories, for redundancy.",environment,
dfs.namenode.name.dir.restore,hdfs,"Set to true to enable NameNode to attempt recovering a previously failed dfs.namenode.name.dir. When enabled, a recovery of any failed directory is attempted during checkpoint.",reliability,
dfs.namenode.fs-limits.max-component-length,hdfs,Defines the maximum number of bytes in UTF-8 encoding in each component of a path. A value of 0 will disable the check.,manageability,
dfs.namenode.fs-limits.max-directory-items,hdfs,Defines the maximum number of items that a directory may contain. Cannot set the property to a value less than 1 or more than 6400000.,manageability,
dfs.namenode.fs-limits.min-block-size,hdfs,"Minimum block size in bytes, enforced by the Namenode at create time. This prevents the accidental creation of files with tiny block sizes (and thus many blocks), which can degrade performance.",performance,
dfs.namenode.fs-limits.max-blocks-per-file,hdfs,"Maximum number of blocks per file, enforced by the Namenode on write. This prevents the creation of extremely large files which can degrade performance.",performance,
dfs.namenode.edits.dir,hdfs,"Determines where on the local filesystem the DFS name node should store the transaction (edits) file. If this is a comma-delimited list of directories then the transaction file is replicated in all of the directories, for redundancy. Default value is same as dfs.namenode.name.dir",environment,
dfs.namenode.edits.dir.required,hdfs,"This should be a subset of dfs.namenode.edits.dir, to ensure that the transaction (edits) file in these places is always up-to-date.",environment,
dfs.namenode.shared.edits.dir,hdfs,A directory on shared storage between the multiple namenodes in an HA cluster. This directory will be written by the active and read by the standby in order to keep the namespaces synchronized. This directory does not need to be listed in dfs.namenode.edits.dir above. It should be left empty in a non-HA cluster.,environment,
dfs.permissions.enabled,hdfs,"If ""true"", enable permission checking in HDFS. If ""false"", permission checking is turned off, but all other behavior is unchanged. Switching from one parameter value to the other does not change the mode, owner or group of files or directories.",security,
dfs.permissions.superusergroup,hdfs,The name of the group of super-users. The value should be a single group name.,manageability,
dfs.cluster.administrators,hdfs,"ACL for the admins, this configuration is used to control who can access the default servlets in the namenode, etc. The value should be a comma separated list of users and groups. The user list comes first and is separated by a space followed by the group list, e.g. ""user1,user2 group1,group2"". Both users and groups are optional, so ""user1"", "" group1"", """", ""user1 group1"", ""user1,user2 group1,group2"" are all valid (note the leading space in "" group1""). '*' grants access to all users and groups, e.g. '*', '* ' and ' *' are all valid.",manageability,
dfs.namenode.acls.enabled,hdfs,"Set to true to enable support for HDFS ACLs (Access Control Lists). By default, ACLs are disabled. When ACLs are disabled, the NameNode rejects all RPCs related to setting or getting ACLs.",security,
dfs.namenode.lazypersist.file.scrub.interval.sec,hdfs,The NameNode periodically scans the namespace for LazyPersist files with missing blocks and unlinks them from the namespace. This configuration key controls the interval between successive scans. Set it to a negative value to disable this behavior.,reliability,
dfs.block.access.token.enable,hdfs,"If ""true"", access tokens are used as capabilities for accessing datanodes. If ""false"", no access tokens are checked on accessing datanodes.",security,
dfs.block.access.key.update.interval,hdfs,Interval in minutes at which namenode updates its access keys.,security,
dfs.block.access.token.lifetime,hdfs,The lifetime of access tokens in minutes.,security,
dfs.datanode.data.dir,hdfs,"Determines where on the local filesystem an DFS data node should store its blocks. If this is a comma-delimited list of directories, then data will be stored in all named directories, typically on different devices. The directories should be tagged with corresponding storage types ([SSD]/[DISK]/[ARCHIVE]/[RAM_DISK]) for HDFS storage policies. The default storage type will be DISK if the directory does not have a storage type tagged explicitly. Directories that do not exist will be created if local filesystem permission allows.",environment,
dfs.datanode.data.dir.perm,hdfs,Permissions for the directories on on the local filesystem where the DFS data node store its blocks. The permissions can either be octal or symbolic.,security,
dfs.replication,hdfs,Default block replication. The actual number of replications can be specified when the file is created. The default is used if replication is not specified in create time.,reliability,
dfs.replication.max,hdfs,Maximal block replication.,reliability,
dfs.namenode.replication.min,hdfs,Minimal block replication.,reliability,
dfs.namenode.maintenance.replication.min,hdfs,Minimal live block replication in existence of maintenance mode.,reliability,
dfs.namenode.safemode.replication.min,hdfs,a separate minimum replication factor for calculating safe block count. This is an expert level setting. Setting this lower than the dfs.namenode.replication.min is not recommend and/or dangerous for production setups. When it's not set it takes value from dfs.namenode.replication.min,reliability,
dfs.namenode.max-corrupt-file-blocks-returned,hdfs,"The maximum number of corrupt file blocks listed by NameNode Web UI, JMX and other client request.",reliability,
dfs.blocksize,hdfs,"The default block size for new files, in bytes. You can use the following suffix (case insensitive): k(kilo), m(mega), g(giga), t(tera), p(peta), e(exa) to specify the size (such as 128k, 512m, 1g, etc.), Or provide complete size in bytes (such as 134217728 for 128 MB).",manageability,
dfs.client.block.write.retries,hdfs,"The number of retries for writing blocks to the data nodes, before we signal failure to the application.",reliability,
dfs.client.block.write.replace-datanode-on-failure.enable,hdfs,"If there is a datanode/network failure in the write pipeline, DFSClient will try to remove the failed datanode from the pipeline and then continue writing with the remaining datanodes. As a result, the number of datanodes in the pipeline is decreased. The feature is to add new datanodes to the pipeline. This is a site-wide property to enable/disable the feature. When the cluster size is extremely small, e.g. 3 nodes or less, cluster administrators may want to set the policy to NEVER in the default configuration file or disable this feature. Otherwise, users may experience an unusually high rate of pipeline failures since it is impossible to find new datanodes for replacement. See also dfs.client.block.write.replace-datanode-on-failure.policy",reliability,
dfs.client.block.write.replace-datanode-on-failure.policy,hdfs,This property is used only if the value of dfs.client.block.write.replace-datanode-on-failure.enable is true. ALWAYS: always add a new datanode when an existing datanode is removed. NEVER: never add a new datanode. DEFAULT: Let r be the replication number. Let n be the number of existing datanodes. Add a new datanode only if r is greater than or equal to 3 and either (1) floor(r/2) is greater than or equal to n; or (2) r is greater than n and the block is hflushed/appended.,reliability,manageability
dfs.client.block.write.replace-datanode-on-failure.best-effort,hdfs,"This property is used only if the value of dfs.client.block.write.replace-datanode-on-failure.enable is true. Best effort means that the client will try to replace a failed datanode in write pipeline (provided that the policy is satisfied), however, it continues the write operation in case that the datanode replacement also fails. Suppose the datanode replacement fails. false: An exception should be thrown so that the write will fail. true : The write should be resumed with the remaining datandoes. Note that setting this property to true allows writing to a pipeline with a smaller number of datanodes. As a result, it increases the probability of data loss.",reliability,
dfs.client.block.write.replace-datanode-on-failure.min-replication,hdfs,"The minimum number of replications that are needed to not to fail the write pipeline if new datanodes can not be found to replace failed datanodes (could be due to network failure) in the write pipeline. If the number of the remaining datanodes in the write pipeline is greater than or equal to this property value, continue writing to the remaining nodes. Otherwise throw exception. If this is set to 0, an exception will be thrown, when a replacement can not be found. See also dfs.client.block.write.replace-datanode-on-failure.policy",reliability,
dfs.blockreport.intervalMsec,hdfs,Determines block reporting interval in milliseconds.,reliability,
dfs.blockreport.initialDelay,hdfs,Delay for first block report in seconds.,reliability,
dfs.blockreport.split.threshold,hdfs,If the number of blocks on the DataNode is below this threshold then it will send block reports for all Storage Directories in a single message. If the number of blocks exceeds this threshold then the DataNode will send block reports for each Storage Directory in separate messages. Set to zero to always split.,debuggability,
dfs.namenode.max.full.block.report.leases,hdfs,The maximum number of leases for full block reports that the NameNode will issue at any given time. This prevents the NameNode from being flooded with full block reports that use up all the RPC handler threads. This number should never be more than the number of RPC handler threads or less than 1.,reliability,
dfs.namenode.full.block.report.lease.length.ms,hdfs,The number of milliseconds that the NameNode will wait before invalidating a full block report lease. This prevents a crashed DataNode from permanently using up a full block report lease.,reliability,
dfs.datanode.directoryscan.interval,hdfs,Interval in seconds for Datanode to scan data directories and reconcile the difference between blocks in memory and on the disk.,reliability,
dfs.datanode.directoryscan.threads,hdfs,How many threads should the threadpool used to compile reports for volumes in parallel have.,performance,
dfs.datanode.directoryscan.throttle.limit.ms.per.sec,hdfs,"The report compilation threads are limited to only running for a given number of milliseconds per second, as configured by the property. The limit is taken per thread, not in aggregate, e.g. setting a limit of 100ms for 4 compiler threads will result in each thread being limited to 100ms, not 25ms. Note that the throttle does not interrupt the report compiler threads, so the actual running time of the threads per second will typically be somewhat higher than the throttle limit, usually by no more than 20%. Setting this limit to 1000 disables compiler thread throttling. Only values between 1 and 1000 are valid. Setting an invalid value will result in the throttle being disabled and an error message being logged. 1000 is the default setting.",performance,
dfs.heartbeat.interval,hdfs,Determines datanode heartbeat interval in seconds.,reliability,
dfs.datanode.lifeline.interval.seconds,hdfs,"Sets the interval in seconds between sending DataNode Lifeline Protocol messages from the DataNode to the NameNode. The value must be greater than the value of dfs.heartbeat.interval. If this property is not defined, then the default behavior is to calculate the interval as 3x the value of dfs.heartbeat.interval. Note that normal heartbeat processing may cause the DataNode to postpone sending lifeline messages if they are not required. Under normal operations with speedy heartbeat processing, it is possible that no lifeline messages will need to be sent at all. This property has no effect if dfs.namenode.lifeline.rpc-address is not defined.",reliability,
dfs.namenode.handler.count,hdfs,The number of Namenode RPC server threads that listen to requests from clients. If dfs.namenode.servicerpc-address is not configured then Namenode RPC server threads listen to requests from all nodes.,performance,
dfs.namenode.service.handler.count,hdfs,The number of Namenode RPC server threads that listen to requests from DataNodes and from all other non-client nodes. dfs.namenode.service.handler.count will be valid only if dfs.namenode.servicerpc-address is configured.,performance,
dfs.namenode.lifeline.handler.ratio,hdfs,"A ratio applied to the value of dfs.namenode.handler.count, which then provides the number of RPC server threads the NameNode runs for handling the lifeline RPC server. For example, if dfs.namenode.handler.count is 100, and dfs.namenode.lifeline.handler.factor is 0.10, then the NameNode starts 100 * 0.10 = 10 threads for handling the lifeline RPC server. It is common to tune the value of dfs.namenode.handler.count as a function of the number of DataNodes in a cluster. Using this property allows for the lifeline RPC server handler threads to be tuned automatically without needing to touch a separate property. Lifeline message processing is lightweight, so it is expected to require many fewer threads than the main NameNode RPC server. This property is not used if dfs.namenode.lifeline.handler.count is defined, which sets an absolute thread count. This property has no effect if dfs.namenode.lifeline.rpc-address is not defined.",performance,
dfs.namenode.lifeline.handler.count,hdfs,"Sets an absolute number of RPC server threads the NameNode runs for handling the DataNode Lifeline Protocol and HA health check requests from ZKFC. If this property is defined, then it overrides the behavior of dfs.namenode.lifeline.handler.ratio. By default, it is not defined. This property has no effect if dfs.namenode.lifeline.rpc-address is not defined.",performance,
dfs.namenode.safemode.threshold-pct,hdfs,Specifies the percentage of blocks that should satisfy the minimal replication requirement defined by dfs.namenode.replication.min. Values less than or equal to 0 mean not to wait for any particular percentage of blocks before exiting safemode. Values greater than 1 will make safe mode permanent.,security,
dfs.namenode.safemode.min.datanodes,hdfs,Specifies the number of datanodes that must be considered alive before the name node exits safemode. Values less than or equal to 0 mean not to take the number of live datanodes into account when deciding whether to remain in safe mode during startup. Values greater than the number of datanodes in the cluster will make safe mode permanent.,security,
dfs.namenode.safemode.extension,hdfs,"Determines extension of safe mode in milliseconds after the threshold level is reached. Support multiple time unit suffix (case insensitive), as described in dfs.heartbeat.interval.",security,
dfs.namenode.resource.check.interval,hdfs,"The interval in milliseconds at which the NameNode resource checker runs. The checker calculates the number of the NameNode storage volumes whose available spaces are more than dfs.namenode.resource.du.reserved, and enters safemode if the number becomes lower than the minimum value specified by dfs.namenode.resource.checked.volumes.minimum.",reliability,
dfs.namenode.resource.du.reserved,hdfs,The amount of space to reserve/require for a NameNode storage directory in bytes. The default is 100MB.,manageability,
dfs.namenode.resource.checked.volumes,hdfs,A list of local directories for the NameNode resource checker to check in addition to the local edits directories.,environment,
dfs.namenode.resource.checked.volumes.minimum,hdfs,The minimum number of redundant NameNode storage volumes required.,manageability,
dfs.datanode.balance.bandwidthPerSec,hdfs,"Specifies the maximum amount of bandwidth that each datanode can utilize for the balancing purpose in term of the number of bytes per second. You can use the following suffix (case insensitive): k(kilo), m(mega), g(giga), t(tera), p(peta), e(exa)to specify the size (such as 128k, 512m, 1g, etc.). Or provide complete size in bytes (such as 134217728 for 128 MB).",performance,
dfs.hosts,hdfs,"Names a file that contains a list of hosts that are permitted to connect to the namenode. The full pathname of the file must be specified. If the value is empty, all hosts are permitted.",security,
dfs.hosts.exclude,hdfs,"Names a file that contains a list of hosts that are not permitted to connect to the namenode. The full pathname of the file must be specified. If the value is empty, no hosts are excluded.",security,
dfs.namenode.max.objects,hdfs,"The maximum number of files, directories and blocks dfs supports. A value of zero indicates no limit to the number of objects that dfs supports.",manageability,
dfs.namenode.datanode.registration.ip-hostname-check,hdfs,"If true (the default), then the namenode requires that a connecting datanode's address must be resolved to a hostname. If necessary, a reverse DNS lookup is performed. All attempts to register a datanode from an unresolvable address are rejected. It is recommended that this setting be left on to prevent accidental registration of datanodes listed by hostname in the excludes file during a DNS outage. Only set this to false in environments where there is no infrastructure to support reverse DNS lookup.",security,
dfs.namenode.decommission.interval,hdfs,"Namenode periodicity in seconds to check if decommission or maintenance is complete. Support multiple time unit suffix(case insensitive), as described in dfs.heartbeat.interval.",reliability,
dfs.namenode.decommission.blocks.per.interval,hdfs,"The approximate number of blocks to process per decommission or maintenance interval, as defined in dfs.namenode.decommission.interval.",performance,
dfs.namenode.decommission.max.concurrent.tracked.nodes,hdfs,The maximum number of decommission-in-progress or entering-maintenance datanodes nodes that will be tracked at one time by the namenode. Tracking these datanode consumes additional NN memory proportional to the number of blocks on the datnode. Having a conservative limit reduces the potential impact of decommissioning or maintenance of a large number of nodes at once. A value of 0 means no limit will be enforced.,debuggability,
dfs.namenode.replication.interval,hdfs,The periodicity in seconds with which the namenode computes replication work for datanodes.,reliability,
dfs.namenode.accesstime.precision,hdfs,The access time for HDFS file is precise upto this value. The default value is 1 hour. Setting a value of 0 disables access times for HDFS.,manageability,
dfs.datanode.plugins,hdfs,Comma-separated list of datanode plug-ins to be activated.,manageability,
dfs.namenode.plugins,hdfs,Comma-separated list of namenode plug-ins to be activated.,manageability,
dfs.namenode.block-placement-policy.default.prefer-local-node,hdfs,"Controls how the default block placement policy places the first replica of a block. When true, it will prefer the node where the client is running. When false, it will prefer a node in the same rack as the client. Setting to false avoids situations where entire copies of large files end up on a single node, thus creating hotspots.",performance,
dfs.stream-buffer-size,hdfs,"The size of buffer to stream files. The size of this buffer should probably be a multiple of hardware page size (4096 on Intel x86), and it determines how much data is buffered during read and write operations.",performance,
dfs.bytes-per-checksum,hdfs,The number of bytes per checksum. Must not be larger than dfs.stream-buffer-size,performance,
dfs.client-write-packet-size,hdfs,Packet size for clients to write,manageability,
dfs.client.write.exclude.nodes.cache.expiry.interval.millis,hdfs,"The maximum period to keep a DN in the excluded nodes list at a client. After this period, in milliseconds, the previously excluded node(s) will be removed automatically from the cache and will be considered good for block allocations again. Useful to lower or raise in situations where you keep a file open for very long periods (such as a Write-Ahead-Log (WAL) file) to make the writer tolerant to cluster maintenance restarts. Defaults to 10 minutes.",reliability,
dfs.namenode.checkpoint.dir,hdfs,Determines where on the local filesystem the DFS secondary name node should store the temporary images to merge. If this is a comma-delimited list of directories then the image is replicated in all of the directories for redundancy.,environment,
dfs.namenode.checkpoint.edits.dir,hdfs,Determines where on the local filesystem the DFS secondary name node should store the temporary edits to merge. If this is a comma-delimited list of directories then the edits is replicated in all of the directories for redundancy. Default value is same as dfs.namenode.checkpoint.dir,environment,
dfs.namenode.checkpoint.period,hdfs,The number of seconds between two periodic checkpoints.,reliability,
dfs.namenode.checkpoint.txns,hdfs,"The Secondary NameNode or CheckpointNode will create a checkpoint of the namespace every 'dfs.namenode.checkpoint.txns' transactions, regardless of whether 'dfs.namenode.checkpoint.period' has expired.",reliability,
dfs.namenode.checkpoint.check.period,hdfs,The SecondaryNameNode and CheckpointNode will poll the NameNode every 'dfs.namenode.checkpoint.check.period' seconds to query the number of uncheckpointed transactions.,reliability,
dfs.namenode.checkpoint.max-retries,hdfs,"The SecondaryNameNode retries failed checkpointing. If the failure occurs while loading fsimage or replaying edits, the number of retries is limited by this variable.",reliability,
dfs.namenode.num.checkpoints.retained,hdfs,The number of image checkpoint files (fsimage_*) that will be retained by the NameNode and Secondary NameNode in their storage directories. All edit logs (stored on edits_* files) necessary to recover an up-to-date namespace from the oldest retained checkpoint will also be retained.,reliability,
dfs.namenode.num.extra.edits.retained,hdfs,"The number of extra transactions which should be retained beyond what is minimally necessary for a NN restart. It does not translate directly to file's age, or the number of files kept, but to the number of transactions (here ""edits"" means transactions). One edit file may contain several transactions (edits). During checkpoint, NameNode will identify the total number of edits to retain as extra by checking the latest checkpoint transaction value, subtracted by the value of this property. Then, it scans edits files to identify the older ones that don't include the computed range of retained transactions that are to be kept around, and purges them subsequently. The retainment can be useful for audit purposes or for an HA setup where a remote Standby Node may have been offline for some time and need to have a longer backlog of retained edits in order to start again. Typically each edit is on the order of a few hundred bytes, so the default of 1 million edits should be on the order of hundreds of MBs or low GBs. NOTE: Fewer extra edits may be retained than value specified for this setting if doing so would mean that more segments would be retained than the number configured by dfs.namenode.max.extra.edits.segments.retained.",reliability,
dfs.namenode.max.extra.edits.segments.retained,hdfs,"The maximum number of extra edit log segments which should be retained beyond what is minimally necessary for a NN restart. When used in conjunction with dfs.namenode.num.extra.edits.retained, this configuration property serves to cap the number of extra edits files to a reasonable value.",reliability,
dfs.namenode.delegation.key.update-interval,hdfs,The update interval for master key for delegation tokens in the namenode in milliseconds.,security,
dfs.namenode.delegation.token.max-lifetime,hdfs,The maximum lifetime in milliseconds for which a delegation token is valid.,security,
dfs.namenode.delegation.token.renew-interval,hdfs,The renewal interval for delegation token in milliseconds.,security,
dfs.datanode.failed.volumes.tolerated,hdfs,The number of volumes that are allowed to fail before a datanode stops offering service. By default any volume failure will cause a datanode to shutdown.,reliability,
dfs.image.compress,hdfs,Should the dfs image be compressed?,others,
dfs.image.compression.codec,hdfs,"If the dfs image is compressed, how should they be compressed? This has to be a codec defined in io.compression.codecs.",performance,
dfs.image.transfer.timeout,hdfs,"Socket timeout for the HttpURLConnection instance used in the image transfer. This is measured in milliseconds. This timeout prevents client hangs if the connection is idle for this configured timeout, during image transfer.",reliability,
dfs.image.transfer.bandwidthPerSec,hdfs,"Maximum bandwidth used for regular image transfers (instead of bootstrapping the standby namenode), in bytes per second. This can help keep normal namenode operations responsive during checkpointing. A default value of 0 indicates that throttling is disabled. The maximum bandwidth used for bootstrapping standby namenode is configured with dfs.image.transfer-bootstrap-standby.bandwidthPerSec.",performance,
dfs.image.transfer-bootstrap-standby.bandwidthPerSec,hdfs,"Maximum bandwidth used for transferring image to bootstrap standby namenode, in bytes per second. A default value of 0 indicates that throttling is disabled. This default value should be used in most cases, to ensure timely HA operations. The maximum bandwidth used for regular image transfers is configured with dfs.image.transfer.bandwidthPerSec.",performance,
dfs.image.transfer.chunksize,hdfs,Chunksize in bytes to upload the checkpoint. Chunked streaming is used to avoid internal buffering of contents of image file of huge size.,performance,
dfs.namenode.support.allow.format,hdfs,"Does HDFS namenode allow itself to be formatted? You may consider setting this to false for any production cluster, to avoid any possibility of formatting a running DFS.",manageability,
dfs.datanode.max.transfer.threads,hdfs,Specifies the maximum number of threads to use for transferring data in and out of the DN.,performance,
dfs.datanode.scan.period.hours,hdfs,"If this is positive, the DataNode will not scan any individual block more than once in the specified scan period. If this is negative, the block scanner is disabled. If this is set to zero, then the default value of 504 hours or 3 weeks is used. Prior versions of HDFS incorrectly documented that setting this key to zero will disable the block scanner.",reliability,
dfs.block.scanner.volume.bytes.per.second,hdfs,"If this is 0, the DataNode's block scanner will be disabled. If this is positive, this is the number of bytes per second that the DataNode's block scanner will try to scan from each volume.",performance,
dfs.datanode.readahead.bytes,hdfs,"While reading block files, if the Hadoop native libraries are available, the datanode can use the posix_fadvise system call to explicitly page data into the operating system buffer cache ahead of the current reader's position. This can improve performance especially when disks are highly contended. This configuration specifies the number of bytes ahead of the current read position which the datanode will attempt to read ahead. This feature may be disabled by configuring this property to 0. If the native libraries are not available, this configuration has no effect.",performance,
dfs.datanode.drop.cache.behind.reads,hdfs,"In some workloads, the data read from HDFS is known to be significantly large enough that it is unlikely to be useful to cache it in the operating system buffer cache. In this case, the DataNode may be configured to automatically purge all data from the buffer cache after it is delivered to the client. This behavior is automatically disabled for workloads which read only short sections of a block (e.g HBase random-IO workloads). This may improve performance for some workloads by freeing buffer cache space usage for more cacheable data. If the Hadoop native libraries are not available, this configuration has no effect.",performance,
dfs.datanode.drop.cache.behind.writes,hdfs,"In some workloads, the data written to HDFS is known to be significantly large enough that it is unlikely to be useful to cache it in the operating system buffer cache. In this case, the DataNode may be configured to automatically purge all data from the buffer cache after it is written to disk. This may improve performance for some workloads by freeing buffer cache space usage for more cacheable data. If the Hadoop native libraries are not available, this configuration has no effect.",performance,
dfs.datanode.sync.behind.writes,hdfs,"If this configuration is enabled, the datanode will instruct the operating system to enqueue all written data to the disk immediately after it is written. This differs from the usual OS policy which may wait for up to 30 seconds before triggering writeback. This may improve performance for some workloads by smoothing the IO profile for data written to disk. If the Hadoop native libraries are not available, this configuration has no effect.",performance,
dfs.client.failover.max.attempts,hdfs,Expert only. The number of client failover attempts that should be made before the failover is considered failed.,reliability,
dfs.client.failover.sleep.base.millis,hdfs,"Expert only. The time to wait, in milliseconds, between failover attempts increases exponentially as a function of the number of attempts made so far, with a random factor of +/- 50%. This option specifies the base value used in the failover calculation. The first failover will retry immediately. The 2nd failover attempt will delay at least dfs.client.failover.sleep.base.millis milliseconds. And so on.",reliability,
dfs.client.failover.sleep.max.millis,hdfs,"Expert only. The time to wait, in milliseconds, between failover attempts increases exponentially as a function of the number of attempts made so far, with a random factor of +/- 50%. This option specifies the maximum value to wait between failovers. Specifically, the time between two failover attempts will not exceed +/- 50% of dfs.client.failover.sleep.max.millis milliseconds.",reliability,
