name,default,description,label
rootwrap_config,/etc/nova/rootwrap.conf,Path to the rootwrap configuration file.,environment
tempdir,<None>,Explicitly specify the temporary working directory.,environment
compute_driver,<None>,Defines which driver to use for controlling virtualization.,manageability
allow_resize_to_same_host,FALSE,Allow destination machine to match source for resize. Useful when testing in single-host environments. By default it is not allowed to resize to the same host. Setting this option to true will add the same host to the destination options. Also set to true if you allow the ServerGroupAffinityFilter and need to resize.,reliability
non_inheritable_image_properties,"cache_in_nova,bittorrent,img_signature_hash_method,img_signature,img_signature_key_type,img_signature_certificate_uuid",Image properties that should not be inherited from the instance when taking a snapshot.,manageability
max_local_block_devices,3,Maximum number of devices that will result in a local image being created on the hypervisor node.,performance
compute_monitors,'',"A comma-separated list of monitors that can be used for getting compute metrics. You can use the alias/name from the setuptools entry points for nova.compute.monitors.* namespaces. If no namespace is supplied, the 'cpu.' namespace is assumed for backwards-compatibility.",manageability
default_ephemeral_format,<None>,The default format an ephemeral_volume will be formatted with on creation.,manageability
vif_plugging_is_fatal,TRUE,Determine if instance should boot or fail on VIF plugging timeout.,reliability
vif_plugging_timeout,300,Timeout for Neutron VIF plugging event message arrival.,reliability
injected_network_template,$pybasedir/nova/virt/interfaces.template,Path to '/etc/network/interfaces' template.,environment
preallocate_images,none,The image preallocation mode to use.,environment
use_cow_images,TRUE,Enable use of copy-on-write (cow) images.,manageability
force_raw_images,TRUE,Force conversion of backing images to raw format.,manageability
virt_mkfs,'',Name of the mkfs commands for ephemeral device.,others
resize_fs_using_block_device,FALSE,Enable resizing of filesystems via a block device.,performance
timeout_nbd,10,"Amount of time, in seconds, to wait for NBD device start up.",reliability
image_cache_subdirectory_name,_base,Location of cached images.,environment
remove_unused_base_images,TRUE,Should unused base images be removed?,manageability
remove_unused_original_minimum_age_seconds,86400,Unused unresized base images younger than this will not be removed.,manageability
pointer_model,usbtablet,Generic property to specify the pointer type.,manageability
vcpu_pin_set,<None>,Defines which physical CPUs (pCPUs) can be used by instance virtual CPUs (vCPUs).,performance
reserved_huge_pages,<None>,Number of huge/large memory pages to reserved per NUMA host cell.,performance
reserved_host_disk_mb,0,"Amount of disk resources in MB to make them always available to host. The disk usage gets reported back to the scheduler from nova-compute running on the compute nodes. To prevent the disk resources from being considered as available, this option can be used to reserve disk space for that host.",performance
reserved_host_memory_mb,512,"Amount of memory in MB to reserve for the host so that it is always available to host processes. The host resources usage is reported back to the scheduler continuously from nova-compute running on the compute node. To prevent the host memory from being considered as available, this option is used to reserve memory for the host.",performance
reserved_host_cpus,0,"Number of physical CPUs to reserve for the host. The host resources usage is reported back to the scheduler continuously from nova-compute running on the compute node. To prevent the host CPU from being considered as available, this option is used to reserve random pCPU(s) for the host.",performance
cpu_allocation_ratio,<None>,This option helps you specify virtual CPU to physical CPU allocation ratio.,performance
ram_allocation_ratio,<None>,This option helps you specify virtual RAM to physical RAM allocation ratio.,performance
disk_allocation_ratio,<None>,This option helps you specify virtual disk to physical disk allocation ratio.,performance
initial_cpu_allocation_ratio,16,This option helps you specify initial virtual CPU to physical CPU allocation ratio.,performance
initial_ram_allocation_ratio,1.5,This option helps you specify initial virtual RAM to physical RAM allocation ratio.,performance
initial_disk_allocation_ratio,1,This option helps you specify initial virtual disk to physical disk allocation ratio.,performance
console_host,<current_hostname>,"This option has a sample default set, which means that its actual default value may vary from the one documented above.",manageability
default_access_ip_network_name,<None>,"Name of the network to be used to set access IPs for instances. If there are multiple IPs to choose from, an arbitrary one will be chosen.",performance
instances_path,$state_path/instances,"This option has a sample default set, which means that its actual default value may vary from the one documented above.",manageability
instance_usage_audit,FALSE,This option enables periodic compute.instance.exists notifications. Each compute node must be configured to generate system usage data. These notifications are consumed by OpenStack Telemetry service.,performance
live_migration_retry_count,30,Maximum number of 1 second retries in live_migration. It specifies number of retries to iptables when it complains. It happens when an user continuously sends live-migration request to same host leading to concurrent request to iptables.,reliability
resume_guests_state_on_host_boot,FALSE,This option specifies whether to start guests that were running before the host rebooted. It ensures that all of the instances on a Nova compute node resume their state each time the compute node boots or restarts.,manageability
network_allocate_retries,0,Number of times to retry network allocation. It is required to attempt network allocation retries if the virtual interface plug fails.,reliability
max_concurrent_builds,10,"Limits the maximum number of instance builds to run concurrently by nova-compute. Compute service can attempt to build an infinite number of instances, if asked to do so. This limit is enforced to avoid building unlimited instance concurrently on a compute node. This value can be set per compute node.",performance
max_concurrent_live_migrations,1,Maximum number of live migrations to run concurrently. This limit is enforced to avoid outbound live migrations overwhelming the host/network and causing failures. It is not recommended that you change this unless you are very sure that doing so is safe and stable in your environment.,reliability
block_device_allocate_retries,60,"Number of times to retry block device allocation on failures. Starting with Liberty, Cinder can use image volume cache. This may help with block device allocation performance. Look at the cinder image_volume_cache_enabled configuration option.",performance
sync_power_state_pool_size,1000,Number of greenthreads available for use to sync power states.,performance
image_cache_manager_interval,2400,Number of seconds to wait between runs of the image cache manager.,performance
bandwidth_poll_interval,600,Interval to pull network bandwidth usage info.,manageability
sync_power_state_interval,600,Interval to sync power states between the database and the hypervisor.,performance
heal_instance_info_cache_interval,60,Interval between instance network information cache updates.,reliability
reclaim_instance_interval,0,Interval for reclaiming deleted instances.,security
volume_usage_poll_interval,0,Interval for gathering volume usages.,manageability
shelved_poll_interval,3600,Interval for polling shelved instances to offload.,manageability
shelved_offload_time,0,Time before a shelved instance is eligible for removal from a host.,reliability
instance_delete_interval,300,Interval for retrying failed instance file deletes.,reliability
block_device_allocate_retries_interval,3,Interval (in seconds) between block device allocation retries on failures.,reliability
scheduler_instance_sync_interval,120,Interval between sending the scheduler a list of current instance UUIDs to verify that its view of instances is in sync with nova.,reliability
update_resources_interval,0,Interval for updating compute resources.,reliability
reboot_timeout,0,Time interval after which an instance is hard rebooted automatically.,reliability
instance_build_timeout,0,Maximum time in seconds that an instance can take to build.,reliability
rescue_timeout,0,Interval to wait before un-rescuing an instance stuck in RESCUE.,reliability
resize_confirm_window,0,Automatically confirm resizes after N seconds.,reliability
shutdown_timeout,60,Total time to wait in seconds for an instance to perform a clean shutdown.,reliability
running_deleted_instance_action,reap,The compute service periodically checks for instances that have been deleted in the database but remain running on the compute node. The above option enables action to be taken when such instances are identified.,reliability
running_deleted_instance_poll_interval,1800,"Time interval in seconds to wait between runs for the clean up action. If set to 0, above check will be disabled. If 'running_deleted_instance _action' is set to 'log' or 'reap', a value greater than 0 must be set.",reliability
running_deleted_instance_timeout,0,Time interval in seconds to wait for the instances that have been marked as deleted in database to be eligible for cleanup.,reliability
maximum_instance_delete_attempts,5,The number of times to attempt to reap an instance's files.,reliability
osapi_compute_unique_server_name_scope,'',Sets the scope of the check for unique instance names.,security
enable_new_services,TRUE,Enable new nova-compute services on this host automatically.,manageability
instance_name_template,instance-%08x,Template string to be used to generate instance names.,environment
migrate_max_retries,-1,Number of times to retry live-migration before failing.,reliability
config_drive_format,iso9660,Configuration drive format,environment
force_config_drive,FALSE,Force injection to take place on a config drive,performance
mkisofs_cmd,genisoimage,Name or path of the tool used for ISO image creation,others
default_flavor,m1.small,Default flavor to use for the EC2 API only. The Nova API does not support a default flavor.,manageability
my_ip,<host_ipv4>,"This option has a sample default set, which means that its actual default value may vary from the one documented above.",manageability
my_block_storage_ip,$my_ip,The IP address which is used to connect to the block storage network.,environment
host,<current_hostname>,"This option has a sample default set, which means that its actual default value may vary from the one documented above.",others
dhcpbridge_flagfile,/etc/nova/nova-dhcpbridge.conf,"This option is a list of full paths to one or more configuration files for dhcpbridge. In most cases the default path of '/etc/nova/nova-dhcpbridge.conf' should be sufficient, but if you have special needs for configuring dhcpbridge, you can change or add to this list.",environment
networks_path,$state_path/networks,The location where the network configuration files will be kept. The default is the 'networks' directory off of the location where nova's Python module is installed.,environment
public_interface,eth0,This is the name of the network interface for public IP addresses. The default is 'eth0'.,others
dhcpbridge,$bindir/nova-dhcpbridge,The location of the binary nova-dhcpbridge. By default it is the binary named 'nova-dhcpbridge' that is installed with all the other nova binaries.,environment
routing_source_ip,$my_ip,The public IP address of the network host.,environment
dhcp_lease_time,86400,"The lifetime of a DHCP lease, in seconds. The default is 86400 (one day).",reliability
dns_server,'',"Despite the singular form of the name of this option, it is actually a list of zero or more server addresses that dnsmasq will use for DNS nameservers. If this is not empty, dnsmasq will not read /etc/resolv.conf, but will only use the servers specified in this option. If the option use_network_dns_servers is True, the dns1 and dns2 servers from the network will be appended to this list, and will be used as DNS servers, too.",environment
use_network_dns_servers,FALSE,"When this option is set to True, the dns1 and dns2 servers for the network specified by the user on boot will be used for DNS, as well as any specified in the dns_server option.",security
dmz_cidr,'',This option is a list of zero or more IP address ranges in your network's DMZ that should be accepted.,security
force_snat_range,'',"This is a list of zero or more IP ranges that traffic from the routing_source_ip will be SNATted to. If the list is empty, then no SNAT rules are created.",reliability
dnsmasq_config_file,'',"The path to the custom dnsmasq configuration file, if any.",environment
linuxnet_interface_driver,nova.network.linux_net.LinuxBridgeInterfaceDriver,"This is the class used as the ethernet device driver for linuxnet bridge operations. The default value should be all you need for most cases, but if you wish to use a customized class, set this option to the full dot-separated import path for that class.",environment
linuxnet_ovs_integration_bridge,br-int,The name of the Open vSwitch bridge that is used with linuxnet when connecting with Open vSwitch.',security
send_arp_for_ha,FALSE,"When True, when a device starts up, and upon binding floating IP addresses, arp messages will be sent to ensure that the arp caches on the compute hosts are up-to-date.",reliability
send_arp_for_ha_count,3,"When arp messages are configured to be sent, they will be sent with the count set to the value of this option. Of course, if this is set to zero, no arp messages will be sent.",manageability
use_single_default_gateway,FALSE,"When set to True, only the firt nic of a VM will get its default gateway from the DHCP server.",security
forward_bridge_interface,all,"One or more interfaces that bridges can forward traffic to. If any of the items in this list is the special keyword 'all', then all traffic will be forwarded.",manageability
metadata_host,$my_ip,This option determines the IP address for the network metadata API server.,environment
metadata_port,8775,This option determines the port used for the metadata API server.,manageability
iptables_top_regex,'',"This expression, if defined, will select any matching iptables rules and place them at the top when applying metadata changes to the rules.",manageability
iptables_bottom_regex,'',"This expression, if defined, will select any matching iptables rules and place them at the bottom when applying metadata changes to the rules.",manageability
iptables_drop_action,DROP,"By default, packets that do not pass the firewall are DROPped. In many cases, though, an operator may find it more useful to change this from DROP to REJECT, so that the user issuing those packets may have a better idea as to what's going on, or LOGDROP in order to record the blocked traffic before DROPping.",performance
defer_iptables_apply,FALSE,Defer application of IPTables rules until after init phase.,reliability
ovs_vsctl_timeout,120,"This option represents the period of time, in seconds, that the ovs_vsctl calls will wait for a response from the database before timing out. A setting of 0 means that the utility should wait forever for a response.",reliability
fake_network,FALSE,This option is used mainly in testing to avoid calls to the underlying network utilities.,security
ebtables_exec_attempts,3,This option determines the number of times to retry ebtables commands before giving up. The minimum number of retries is 1.,reliability
ebtables_retry_interval,1,"This option determines the time, in seconds, that the system will sleep in between ebtables retries. Note that each successive retry waits a multiple of this value, so for example, if this is set to the default of 1.0 seconds, and ebtables_exec_attempts is 4, after the first failure, the system will sleep for 1 * 1.0 seconds, after the second failure it will sleep 2 * 1.0 seconds, and after the third failure it will sleep 3 * 1.0 seconds.",reliability
use_neutron,TRUE,Enable neutron as the backend for networking.,manageability
flat_injected,FALSE,"This option determines whether the network setup information is injected into the VM before it is booted. While it was originally designed to be used only by nova-network, it is also used by the vmware and xenapi virt drivers to control whether network information is injected into a VM. The libvirt virt driver also uses it when we use config_drive to configure network to control whether network information is injected into a VM.",performance
flat_network_bridge,<None>,This option determines the bridge used for simple network interfaces when no bridge is specified in the VM creation request.,manageability
flat_network_dns,8.8.4.4,"This is the address of the DNS server for a simple network. If this option is not specified, the default of '8.8.4.4' is used.",environment
flat_interface,<None>,"This option is the name of the virtual interface of the VM on which the bridge will be built. While it was originally designed to be used only by nova-network, it is also used by libvirt for the bridge interface name.",others
vlan_start,100,"This is the VLAN number used for private networks. Note that the when creating the networks, if the specified number has already been assigned, nova-network will increment this number until it finds an available VLAN.",reliability
vlan_interface,<None>,"This option is the name of the virtual interface of the VM on which the VLAN bridge will be built. While it was originally designed to be used only by nova-network, it is also used by libvirt and xenapi for the bridge interface name.",environment
num_networks,1,"This option represents the number of networks to create if not explicitly specified when the network is created. The only time this is used is if a CIDR is specified, but an explicit network_size is not. In that case, the subnets are created by diving the IP address space of the CIDR by num_networks. The resulting subnet sizes cannot be larger than the configuration option network_size; in that event, they are reduced to network_size, and a warning is logged.",performance
vpn_ip,$my_ip,This option is no longer used since the /os-cloudpipe API was removed in the 16.0.0 Pike release. This is the public IP address for the cloudpipe VPN servers. It defaults to the IP address of the host.,security
vpn_start,1000,This is the port number to use as the first VPN port for private networks.,environment
network_size,256,This option determines the number of addresses in each private subnet.,manageability
fixed_range_v6,fd00::/48,This option determines the fixed IPv6 address block when creating a network.,reliability
gateway,<None>,This is the default IPv4 gateway. It is used only in the testing suite.,others
gateway_v6,<None>,This is the default IPv6 gateway. It is used only in the testing suite.,others
cnt_vpn_clients,0,This option represents the number of IP addresses to reserve at the top of the address range for VPN clients. It also will be ignored if the configuration option for network_manager is not set to the default of 'nova.network.manager.VlanManager'.,security
fixed_ip_disassociate_timeout,600,"This is the number of seconds to wait before disassociating a deallocated fixed IP address. This is only used with the nova-network service, and has no effect when using neutron for networking.",reliability
create_unique_mac_address_attempts,5,This option determines how many times nova-network will attempt to create a unique MAC address before giving up and raising a VirtualInterfaceMacAddressException error.,reliability
teardown_unused_network_gateway,FALSE,"Determines whether unused gateway devices, both VLAN and bridge, are deleted if the network is in nova-network VLAN mode and is multi-hosted.",manageability
force_dhcp_release,TRUE,"When this option is True, a call is made to release the DHCP for the instance when that instance is terminated.",reliability
update_dns_entries,FALSE,"When this option is True, whenever a DNS entry must be updated, a fanout cast message is sent to all network hosts to update their DNS entries in multi-host mode.",reliability
dns_update_periodic_interval,-1,"This option determines the time, in seconds, to wait between refreshing DNS entries for the network.",reliability
dhcp_domain,novalocal,This option allows you to specify the domain for the DHCP server.,environment
l3_lib,nova.network.l3.LinuxNetL3,This option allows you to specify the L3 management library to be used.,manageability
share_dhcp_address,FALSE,THIS VALUE SHOULD BE SET WHEN CREATING THE NETWORK.,manageability
ldap_dns_url,ldap://ldap.example.com:389,URL for LDAP server which will store DNS entries,environment
ldap_dns_user,"uid=admin,ou=people,dc=example,dc=org",Bind user for LDAP server,security
ldap_dns_password,password,Bind user's password for LDAP server,environment
ldap_dns_soa_hostmaster,hostmaster@example.org,Hostmaster for LDAP DNS driver Statement of Authority,security
ldap_dns_servers,dns.example.org,DNS Servers for LDAP DNS driver,reliability
ldap_dns_base_dn,"ou=hosts,dc=example,dc=org",Base distinguished name for the LDAP search query,others
ldap_dns_soa_refresh,1800,Refresh interval (in seconds) for LDAP DNS driver Start of Authority,reliability
ldap_dns_soa_retry,3600,Retry interval (in seconds) for LDAP DNS driver Start of Authority,reliability
ldap_dns_soa_expiry,86400,Expiry interval (in seconds) for LDAP DNS driver Start of Authority,reliability
ldap_dns_soa_minimum,7200,Minimum interval (in seconds) for LDAP DNS driver Start of Authority,reliability
multi_host,FALSE,Default value for multi_host in networks.,environment
network_driver,nova.network.linux_net,Driver to use for network creation.,performance
firewall_driver,nova.virt.firewall.NoopFirewallDriver,Firewall driver to use with nova-network service.,environment
allow_same_net_traffic,TRUE,Determine whether to allow network traffic from same network.,manageability
default_floating_pool,nova,Default pool for floating IPs.,reliability
auto_assign_floating_ip,FALSE,Autoassigning floating IP to VM,manageability
floating_ip_dns_manager,nova.network.noop_dns_driver.NoopDNSDriver,Full class name for the DNS Manager for floating IPs.,security
instance_dns_manager,nova.network.noop_dns_driver.NoopDNSDriver,Full class name for the DNS Manager for instance IPs.,security
instance_dns_domain,'',"If specified, Nova checks if the availability_zone of every instance matches what the database says the availability_zone should be for the specified dns_domain.",security
use_ipv6,FALSE,Assign IPv6 and IPv4 addresses when creating instances.,security
ipv6_backend,rfc2462,Abstracts out IPv6 address generation to pluggable backends.,manageability
enable_network_quota,FALSE,This option is used to enable or disable quota checking for tenant networks.,manageability
quota_networks,3,This option controls the number of private networks that can be created per project (or per tenant).,performance
network_manager,nova.network.manager.VlanManager,Full class name for the Manager for network,others
record,<None>,"Filename that will be used for storing websocket frames received and sent by a proxy service (like VNC, spice, serial) running on this host. If this is not set, no recording will be done.",environment
daemon,FALSE,Run as a background process.,manageability
ssl_only,FALSE,Disallow non-encrypted connections.,security
source_is_ipv6,FALSE,Set to True if source host is addressed with IPv6.,security
cert,self.pem,Path to SSL certificate file.,environment
key,<None>,SSL key file (if separate from cert).,environment
web,/usr/share/spice-html5,Path to directory with content which will be served by a web server.,environment
pybasedir,<Path>,"This option has a sample default set, which means that its actual default value may vary from the one documented above.",manageability
bindir,/home/zuul/src/opendev.org/openstack/nova/.tox/docs/local/bin,The directory where the Nova binaries are installed.,environment
state_path,$pybasedir,The top-level directory for maintaining Nova's state.,manageability
long_rpc_timeout,1800,"This option allows setting an alternate timeout value for RPC calls that have the potential to take a long time. If set, RPC calls to other services will use this value for the timeout (in seconds) instead of the global rpc_response_timeout value.",reliability
report_interval,10,Number of seconds indicating how frequently the state of services on a given hypervisor is reported. Nova needs to know this to determine the overall health of the deployment.,reliability
service_down_time,60,Maximum time in seconds since last check-in for up service,reliability
periodic_enable,TRUE,Enable periodic tasks.,reliability
periodic_fuzzy_delay,60,Number of seconds to randomly delay when starting the periodic task scheduler to reduce stampeding.,performance
enabled_apis,"osapi_compute,metadata",List of APIs to be enabled by default.,manageability
enabled_ssl_apis,'',List of APIs with enabled SSL.,security
osapi_compute_listen,0.0.0.0,IP address on which the OpenStack API will listen.,environment
osapi_compute_listen_port,8774,Port on which the OpenStack API will listen.,environment
osapi_compute_workers,<None>,Number of workers for OpenStack API service. The default will be the number of CPUs available.,performance
metadata_listen,0.0.0.0,IP address on which the metadata API will listen.,environment
metadata_listen_port,8775,Port on which the metadata API will listen.,environment
metadata_workers,<None>,Number of workers for metadata service. If not specified the number of available CPUs will be used.,performance
servicegroup_driver,db,This option specifies the driver to be used for the servicegroup service.,manageability
auth_strategy,keystone,Determine the strategy to use for authentication.,manageability
use_forwarded_for,FALSE,"When True, the 'X-Forwarded-For' header is treated as the canonical remote address. When False (the default), the 'remote_address' header is used.",manageability
config_drive_skip_versions,1.0 2007-01-19 2007-03-01 2007-08-29 2007-10-10 2007-12-15 2008-02-01 2008-09-01,"When gathering the existing metadata for a config drive, the EC2-style metadata is returned for all versions that don't appear in this option. As of the Liberty release, the available versions are:",reliability
vendordata_providers,StaticJSON,A list of vendordata providers.,manageability
vendordata_dynamic_targets,'',A list of targets for the dynamic vendordata provider. These targets are of the form <name>@<url>.,manageability
vendordata_dynamic_ssl_certfile,'',Path to an optional certificate file or CA bundle to verify dynamic vendordata REST services ssl certificates against.,environment
vendordata_dynamic_connect_timeout,5,Maximum wait time for an external REST service to connect.,reliability
vendordata_dynamic_read_timeout,5,Maximum wait time for an external REST service to return data once connected.,reliability
vendordata_dynamic_failure_fatal,FALSE,Should failures to fetch dynamic vendordata be fatal to instance boot?,manageability
metadata_cache_expiration,15,"This option is the time (in seconds) to cache metadata. When set to 0, metadata caching is disabled entirely; this is generally not recommended for performance reasons. Increasing this setting should improve response times of the metadata API when under heavy load. Higher values may increase memory usage, and result in longer times for host metadata changes to take effect.",performance
local_metadata_per_cell,FALSE,"Indicates that the nova-metadata API service has been deployed per-cell, so that we can have better performance and data isolation in a multi-cell deployment. Users should consider the use of this configuration depending on how neutron is setup. If you have networks that span cells, you might need to run nova-metadata API service globally. If your networks are segmented along cell boundaries, then you can run nova-metadata API service per cell. When running nova-metadata API service per cell, you should also configure each Neutron metadata-agent to point to the corresponding nova-metadata API service.",performance
vendordata_jsonfile_path,<None>,"Cloud providers may store custom data in vendor data file that will then be available to the instances via the metadata service, and to the rendering of config-drive. The default class for this, JsonFileVendorData, loads this information from a JSON file, whose path is configured by this option. If there is no path set by this option, the class returns an empty dictionary.",manageability
max_limit,1000,"As a query can potentially return many thousands of items, you can limit the maximum number of items in a single response by setting this option.",performance
compute_link_prefix,<None>,"This string is prepended to the normal URL that is returned in links to the OpenStack Compute API. If it is empty (the default), the URLs are returned unchanged.",manageability
glance_link_prefix,<None>,"This string is prepended to the normal URL that is returned in links to Glance resources. If it is empty (the default), the URLs are returned unchanged.",manageability
instance_list_per_project_cells,FALSE,"When enabled, this will cause the API to only query cell databases in which the tenant has mapped instances. This requires an additional (fast) query in the API database before each list, but also (potentially) limits the number of cell databases that must be queried to provide the result. If you have a small number of cells, or tenants are likely to have instances in all cells, then this should be False. If you have many cells, especially if you confine tenants to a small subset of those cells, this should be True.",manageability
instance_list_cells_batch_strategy,distributed,"This controls the method by which the API queries cell databases in smaller batches during large instance list operations. If batching is performed, a large instance list operation will request some fraction of the overall API limit from each cell database initially, and will re-request that same batch size as records are consumed (returned) from each cell as necessary. Larger batches mean less chattiness between the API and the database, but potentially more wasted effort processing the results from the database which will not be returned to the user. Any strategy will yield a batch size of at least 100 records, to avoid a user causing many tiny database queries in their request.",performance
instance_list_cells_batch_fixed_size,100,"This controls the batch size of instances requested from each cell database if instance_list_cells_batch_strategy` is set to fixed. This integral value will define the limit issued to each cell every time a batch of instances is requested, regardless of the number of cells in the system or any other factors. Per the general logic called out in the documentation for instance_list_cells_batch_strategy, the minimum value for this is 100 records per batch.",performance
list_records_by_skipping_down_cells,TRUE,"When set to False, this will cause the API to return a 500 error if there is an infrastructure failure like non-responsive cells. If you want the API to skip the down cells and return the results from the up cells set this option to True.",reliability
use_neutron_default_nets,FALSE,"When True, the TenantNetworkController will query the Neutron API to get the default networks to use.",manageability
neutron_default_tenant_id,default,Tenant ID for getting the default network from Neutron API (also referred in some places as the 'project ID') to use.,manageability
enable_instance_password,TRUE,"Enables returning of the instance password by the relevant server API calls such as create, rebuild, evacuate, or rescue. If the hypervisor does not support password injection, then the password returned will not be correct, so if your hypervisor does not support password injection, set this to False.",debuggability
