name,default,description,label,software
prohibited_implied_role,admin,A list of role names which are prohibited from being an implied role.,security,keystone
methods,"external,password,token,oauth1,mapped,application_credential","Allowed authentication methods. Note: You should disable the external auth method if you are currently using federation. External auth and  federation both use the REMOTE_USER variable. Since both the mapped and  external plugin are being invoked to validate attributes in the request  environment, it can cause conflicts.",security,keystone
password,<None>,Entry point for the password auth plugin module in the keystone.auth.password namespace. You do not need to set this unless you are overriding keystone's own password authentication plugin.,security,keystone
token,<None>,Entry point for the token auth plugin module in the keystone.auth.token namespace. You do not need to set this unless you are overriding keystone's own token authentication plugin.,security,keystone
external,<None>,"Entry point for the external (REMOTE_USER) auth plugin module in the keystone.auth.external namespace. Supplied drivers are DefaultDomain and Domain. The default driver is DefaultDomain, which assumes that all users identified by the username specified to keystone in the REMOTE_USER variable exist within the context of the default domain. The Domain option expects an additional environment variable be presented to keystone, REMOTE_DOMAIN, containing the domain name of the REMOTE_USER (if REMOTE_DOMAIN is not set, then the default domain will be used instead). You do not  need to set this unless you are taking advantage of 'external  authentication', where the application server (such as Apache) is  handling authentication instead of keystone.",security,keystone
oauth1,<None>,Entry point for the OAuth 1.0a auth plugin module in the keystone.auth.oauth1 namespace. You do not need to set this unless you are overriding keystone's own oauth1 authentication plugin.,security,keystone
mapped,<None>,Entry point for the mapped auth plugin module in the keystone.auth.mapped namespace. You do not need to set this unless you are overriding keystone's own mapped authentication plugin.,security,keystone
application_credential,<None>,Entry point for the application_credential auth plugin module in the keystone.auth.application_credential namespace. You do not need to set this unless you are overriding keystone's own application_credential authentication plugin.,security,keystone
config_prefix,cache.oslo,Prefix for building the configuration dictionary for the cache  region. This should not need to be changed unless there is another  dogpile.cache region with the same configuration name.,others,keystone
expiration_time,600,"Default TTL, in seconds, for any cached item in the dogpile.cache  region. This applies to any cached method that doesn't have an explicit  cache expiration time defined for it.",reliability,keystone
backend,dogpile.cache.null,"Cache backend module. For eventlet-based or environments with  hundreds of threaded servers, Memcache with pooling  (oslo_cache.memcache_pool) is recommended. For environments with less  than 100 threaded servers, Memcached (dogpile.cache.memcached) or Redis  (dogpile.cache.redis) is recommended. Test environments with a single  instance of the server can use the dogpile.cache.memory backend.",environment,keystone
backend_argument,'',Arguments supplied to the backend module. Specify this option once  per argument to be passed to the dogpile.cache backend. Example format:  '<argname>:<value>'.,manageability,keystone
proxies,'',Proxy classes to import that will affect the way the dogpile.cache  backend functions. See the dogpile.cache documentation on  changing-backend-behavior.,others,keystone
enabled,TRUE,Global toggle for caching.,performance,keystone
debug_cache_backend,FALSE,"Extra debugging from the cache backend (cache keys,  get/set/delete/etc calls). This is only really useful if you need to see the specific cache-backend get/set/delete calls with the keys/values.   Typically this should be left set to false.",debuggability,keystone
memcache_servers,localhost:11211,Memcache servers in the format of 'host:port'. (dogpile.cache.memcache and oslo_cache.memcache_pool backends only).,environment,keystone
memcache_dead_retry,300,Number of seconds memcached server is considered dead before it is  tried again. (dogpile.cache.memcache and oslo_cache.memcache_pool  backends only).,reliability,keystone
memcache_socket_timeout,3,Timeout in seconds for every call to a server. (dogpile.cache.memcache and oslo_cache.memcache_pool backends only).,reliability,keystone
memcache_pool_maxsize,10,Max total number of open connections to every memcached server. (oslo_cache.memcache_pool backend only).,performance,keystone
memcache_pool_unused_timeout,60,Number of seconds a connection to memcached is held unused in the  pool before it is closed. (oslo_cache.memcache_pool backend only).,reliability,keystone
memcache_pool_connection_get_timeout,10,Number of seconds that an operation will wait to get a memcache client connection.,reliability,keystone
template_file,default_catalog.templates,Absolute path to the file used for the templated catalog backend. This option is only used if the [catalog] driver is set to templated.,environment,keystone
driver,sql,"Entry point for the catalog driver in the keystone.catalog namespace. Keystone provides a sql option (which supports basic CRUD operations through SQL), a templated option (which loads the catalog from a templated catalog file on disk), and a endpoint_filter.sql option (which supports arbitrary service catalogs per project).",environment,keystone
caching,TRUE,"Toggle for catalog caching. This has no effect unless global caching  is enabled. In a typical deployment, there is no reason to disable this.",performance,keystone
cache_time,<None>,"Time to cache catalog data (in seconds). This has no effect unless  global and catalog caching are both enabled. Catalog data (services,  endpoints, etc.) typically does not change frequently, and so a longer  duration than the global default may be desirable.",performance,keystone
list_limit,<None>,"Maximum number of entities that will be returned in a catalog  collection. There is typically no reason to set this, as it would be  unusual for a deployment to have enough services or endpoints to exceed a reasonable limit.",performance,keystone
allowed_origin,<None>,"Indicate whether this resource may be shared with the domain received in the requests 'origin' header. Format:  '<protocol>://<host>[:<port>]', no trailing slash.  Example: https://horizon.example.com",others,keystone
allow_credentials,TRUE,Indicate that the actual request can include user credentials,security,keystone
expose_headers,"X-Auth-Token,X-Openstack-Request-Id,X-Subject-Token,Openstack-Auth-Receipt",Indicate which headers are safe to expose to the API. Defaults to HTTP Simple Headers.,security,keystone
max_age,3600,Maximum cache age of CORS preflight requests.,performance,keystone
allow_methods,"GET,PUT,POST,DELETE,PATCH",Indicate which methods can be used during the actual request.,manageability,keystone
allow_headers,"X-Auth-Token,X-Openstack-Request-Id,X-Subject-Token,X-Project-Id,X-Project-Name,X-Project-Domain-Id,X-Project-Domain-Name,X-Domain-Id,X-Domain-Name,Openstack-Auth-Receipt",Indicate which header field names may be used during the actual request.,manageability,keystone
driver,sql,"Entry point for the credential backend driver in the keystone.credential namespace. Keystone only provides a sql driver, so there's no reason to change this unless you are providing a custom entry point.",environment,keystone
provider,fernet,"Entry point for credential encryption and decryption operations in the keystone.credential.provider namespace. Keystone only provides a fernet driver, so there's no reason to change this unless you are providing a custom entry point to encrypt and decrypt credentials.",security,keystone
key_repository,/etc/keystone/credential-keys/,Directory containing Fernet keys used to encrypt and decrypt  credentials stored in the credential backend. Fernet keys used to  encrypt credentials have no relationship to Fernet keys used to encrypt  Fernet tokens. Both sets of keys should be managed separately and  require different rotation policies. Do not share this repository with  the repository used to manage keys for Fernet tokens.,security,keystone
auth_ttl,15,The length of time in minutes for which a signed EC2 or S3 token  request is valid from the timestamp contained in the token request.,security,keystone
sqlite_synchronous,TRUE,"If True, SQLite uses synchronous mode.",reliability,keystone
backend,sqlalchemy,The back end to use for the database.,environment,keystone
connection,<None>,The SQLAlchemy connection string to use to connect to the database.,manageability,keystone
slave_connection,<None>,The SQLAlchemy connection string to use to connect to the slave database.,environment,keystone
mysql_sql_mode,TRADITIONAL,"The SQL mode to be used for MySQL sessions. This option, including  the default, overrides any server-set SQL mode. To use whatever SQL mode is set by the server configuration, set this to no value. Example:  mysql_sql_mode=",manageability,keystone
mysql_enable_ndb,FALSE,"If True, transparently enables support for handling MySQL Cluster (NDB).",manageability,keystone
connection_recycle_time,3600,Connections which have been present in the connection pool longer  than this number of seconds will be replaced with a new one the next  time they are checked out from the pool.,reliability,keystone
min_pool_size,1,Minimum number of SQL connections to keep open in a pool.,performance,keystone
max_pool_size,5,Maximum number of SQL connections to keep open in a pool. Setting a value of 0 indicates no limit.,reliability,keystone
max_retries,10,Maximum number of database connection retries during startup. Set to -1 to specify an infinite retry count.,reliability,keystone
retry_interval,10,Interval between retries of opening a SQL connection.,reliability,keystone
max_overflow,50,"If set, use this value for max_overflow with SQLAlchemy.",reliability,keystone
connection_debug,0,"Verbosity of SQL debugging information: 0=None, 100=Everything.",debuggability,keystone
connection_trace,FALSE,Add Python stack traces to SQL as comment strings.,manageability,keystone
pool_timeout,<None>,"If set, use this value for pool_timeout with SQLAlchemy.",reliability,keystone
use_db_reconnect,FALSE,Enable the experimental use of database reconnect on connection lost.,reliability,keystone
db_retry_interval,1,Seconds between retries of a database transaction.,reliability,keystone
db_inc_retry_interval,TRUE,"If True, increases the interval between retries of a database operation up to db_max_retry_interval.",reliability,keystone
db_max_retry_interval,10,"If db_inc_retry_interval is set, the maximum seconds between retries of a database operation.",reliability,keystone
db_max_retries,20,Maximum retries in case of connection error or deadlock error before  error is raised. Set to -1 to specify an infinite retry count.,reliability,keystone
connection_parameters,'',Optional URL parameters to append onto the connection URL at connect time; specify as param1=value1&param2=value2&',manageability,keystone
driver,sql,"Entry point for the domain-specific configuration driver in the keystone.resource.domain_config namespace. Only a sql option is provided by keystone, so there is no reason to set this unless you are providing a custom entry point.",environment,keystone
caching,TRUE,Toggle for caching of the domain-specific configuration backend. This has no effect unless global caching is enabled. There is normally no  reason to disable this.,performance,keystone
cache_time,300,"Time-to-live (TTL, in seconds) to cache domain-specific configuration data. This has no effect unless [domain_config] caching is enabled.",performance,keystone
driver,sql,"Entry point for the endpoint filter driver in the keystone.endpoint_filter namespace. Only a sql option is provided by keystone, so there is no reason to set this unless you are providing a custom entry point.",environment,keystone
return_all_endpoints_if_no_filter,TRUE,"This controls keystone's behavior if the configured endpoint filters  do not result in any endpoints for a user + project pair (and therefore a potentially empty service catalog). If set to true, keystone will  return the entire service catalog. If set to false, keystone will return an empty service catalog.",security,keystone
driver,sql,"Entry point for the endpoint policy driver in the keystone.endpoint_policy namespace. Only a sql driver is provided by keystone, so there is no reason to set this unless you are providing a custom entry point.",environment,keystone
public_bind_host,0.0.0.0,The IP address of the network interface for the public service to listen on.,environment,keystone
public_port,5000,The port number for the public service to listen on.,environment,keystone
admin_bind_host,0.0.0.0,The IP address of the network interface for the admin service to listen on.,environment,keystone
admin_port,35357,The port number for the admin service to listen on.,environment,keystone
driver,sql,"Entry point for the federation backend driver in the keystone.federation namespace. Keystone only provides a sql driver, so there is no reason to set this option unless you are providing a custom entry point.",environment,keystone
assertion_prefix,'',Prefix to use when filtering environment variable names for federated assertions. Matched variables are passed into the federated mapping  engine.,environment,keystone
remote_id_attribute,<None>,"Value to be used to obtain the entity ID of the Identity Provider from the environment. For mod_shib, this would be Shib-Identity-Provider. For mod_auth_openidc, this could be HTTP_OIDC_ISS. For mod_auth_mellon, this could be MELLON_IDP.",manageability,keystone
federated_domain_name,Federated,An arbitrary domain name that is reserved to allow federated  ephemeral users to have a domain concept. Note that an admin will not be able to create a domain with this name or update an existing domain to  this name. You are not advised to change this value unless you really  have to.,environment,keystone
trusted_dashboard,'',"A list of trusted dashboard hosts. Before accepting a Single Sign-On  request to return a token, the origin host must be a member of this  list. This configuration option may be repeated for multiple values. You must set this in order to use web-based SSO flows. For example:  trusted_dashboard=https://acme.example.com/auth/websso  trusted_dashboard=https://beta.example.com/auth/websso",security,keystone
sso_callback_template,/etc/keystone/sso_callback_template.html,"Absolute path to an HTML file used as a Single Sign-On callback  handler. This page is expected to redirect the user from keystone back  to a trusted dashboard host, by form encoding a token in a POST request. Keystone's default value should be sufficient for most deployments.",environment,keystone
caching,TRUE,Toggle for federation caching. This has no effect unless global  caching is enabled. There is typically no reason to disable this.,performance,keystone
key_repository,/etc/keystone/fernet-keys/,"Directory containing Fernet receipt keys. This directory must exist before using keystone-manage fernet_setup for the first time, must be writable by the user running keystone-manage fernet_setup or keystone-manage fernet_rotate, and of course must be readable by keystone's server process. The  repository may contain keys in one of three states: a single staged key  (always index 0) used for receipt validation, a single primary key  (always the highest index) used for receipt creation and validation, and any number of secondary keys (all other index values) used for receipt  validation. With multiple keystone nodes, each node must share the same  key repository contents, with the exception of the staged key (index 0). It is safe to run keystone-manage fernet_rotate once on  any one node to promote a staged key (index 0) to be the new primary  (incremented from the previous highest index), and produce a new staged  key (a new key with index 0); the resulting repository can then be  atomically replicated to other nodes without any risk of race conditions (for example, it is safe to run keystone-manage fernet_rotate on host A, wait any amount of time, create a tarball of the directory  on host A, unpack it on host B to a temporary location, and atomically  move (mv) the directory into place on host B). Running keystone-manage fernet_rotate twice on a key repository without syncing other nodes will result in receipts that can not be validated by all nodes.",environment,keystone
max_active_keys,3,"This controls how many keys are held in rotation by keystone-manage fernet_rotate before they are discarded. The default value of 3 means that keystone  will maintain one staged key (always index 0), one primary key (the  highest numerical index), and one secondary key (every other index).  Increasing this value means that additional secondary keys will be kept  in the rotation.",reliability,keystone
key_repository,/etc/keystone/fernet-keys/,"Directory containing Fernet token keys. This directory must exist before using keystone-manage fernet_setup for the first time, must be writable by the user running keystone-manage fernet_setup or keystone-manage fernet_rotate, and of course must be readable by keystone's server process. The  repository may contain keys in one of three states: a single staged key  (always index 0) used for token validation, a single primary key (always the highest index) used for token creation and validation, and any  number of secondary keys (all other index values) used for token  validation. With multiple keystone nodes, each node must share the same  key repository contents, with the exception of the staged key (index 0). It is safe to run keystone-manage fernet_rotate once on  any one node to promote a staged key (index 0) to be the new primary  (incremented from the previous highest index), and produce a new staged  key (a new key with index 0); the resulting repository can then be  atomically replicated to other nodes without any risk of race conditions (for example, it is safe to run keystone-manage fernet_rotate on host A, wait any amount of time, create a tarball of the directory  on host A, unpack it on host B to a temporary location, and atomically  move (mv) the directory into place on host B). Running keystone-manage fernet_rotate twice on a key repository without syncing other nodes will result in tokens that can not be validated by all nodes.",environment,keystone
max_active_keys,3,"This controls how many keys are held in rotation by keystone-manage fernet_rotate before they are discarded. The default value of 3 means that keystone  will maintain one staged key (always index 0), one primary key (the  highest numerical index), and one secondary key (every other index).  Increasing this value means that additional secondary keys will be kept  in the rotation.",reliability,keystone
path,/healthcheck,The path to respond to healtcheck requests on.,environment,keystone
detailed,FALSE,Show more detailed information as part of the response. Security  note: Enabling this option may expose sensitive details about the  service being monitored. Be sure to verify that it will not violate your security policies.,security,keystone
backends,'',Additional backends that can perform health checks and report that information back as part of a request.,debuggability,keystone
disable_by_file_path,<None>,Check the presence of a file to determine if an application is running on a port. Used by DisableByFileHealthcheck plugin.,reliability,keystone
disable_by_file_paths,'',Check the presence of a file based on a port to determine if an  application is running on a port. Expects a 'port:path' list of strings. Used by DisableByFilesPortsHealthcheck plugin.,reliability,keystone
default_domain_id,default,"This references the domain to use for all Identity API v2 requests  (which are not aware of domains). A domain with this ID can optionally  be created for you by keystone-manage bootstrap. The domain referenced by this ID cannot be deleted on the v3 API, to prevent  accidentally breaking the v2 API. There is nothing special about this  domain, other than the fact that it must exist to order to maintain  support for your v2 clients. There is typically no reason to change this value.",others,keystone
domain_specific_drivers_enabled,FALSE,"A subset (or all) of domains can have their own identity driver, each with their own partial configuration options, stored in either the  resource backend or in a file in a domain configuration directory  (depending on the setting of [identity] domain_configurations_from_database). Only values specific to the domain need to be specified in this manner. This feature is disabled by default, but may be enabled by default in a future release; set to true to enable.",others,keystone
domain_configurations_from_database,FALSE,"By default, domain-specific configuration data is read from files in the directory identified by [identity] domain_config_dir. Enabling this configuration option allows you to instead manage  domain-specific configurations through the API, which are then persisted in the backend (typically, a SQL database), rather than using  configuration files on disk.",others,keystone
domain_config_dir,/etc/keystone/domains,Absolute path where keystone should locate domain-specific [identity] configuration files. This option has no effect unless [identity] domain_specific_drivers_enabled is set to true. There is typically no reason to change this value.,environment,keystone
driver,sql,"Entry point for the identity backend driver in the keystone.identity namespace. Keystone provides a sql and ldap driver. This option is also used as the default driver selection (along with the other configuration variables in this section) in the event  that [identity] domain_specific_drivers_enabled is enabled, but no applicable domain-specific configuration is defined for the  domain in question. Unless your deployment primarily relies on ldap AND is not using domain-specific configuration, you should typically leave this set to sql.",environment,keystone
caching,TRUE,Toggle for identity caching. This has no effect unless global caching is enabled. There is typically no reason to disable this.,performance,keystone
cache_time,600,Time to cache identity data (in seconds). This has no effect unless global and identity caching are enabled.,performance,keystone
max_password_length,4096,Maximum allowed length for user passwords. Decrease this value to  improve performance. Changing this value does not effect existing  passwords.,security,keystone
list_limit,<None>,Maximum number of entities that will be returned in an identity collection.,performance,keystone
password_hash_algorithm,bcrypt,The password hashing algorithm to use for passwords stored within keystone.,security,keystone
password_hash_rounds,<None>,"This option represents a trade off between security and performance.  Higher values lead to slower performance, but higher security. Changing  this option will only affect newly created passwords as existing  password hashes already have a fixed number of rounds applied, so it is  safe to tune this option in a running cluster.  The default for bcrypt  is 12, must be between 4 and 31, inclusive.  The default for scrypt is  16, must be within range(1,32).  The default for pbkdf_sha512 is 60000, must be within range(1,1<<32)  WARNING: If using scrypt, increasing this value increases BOTH time AND memory requirements to hash a password.",security,keystone
scrypt_block_size,<None>,Optional block size to pass to scrypt hash function (the r parameter). Useful for tuning scrypt to optimal performance for your CPU architecture. This option is only used when the password_hash_algorithm option is set to scrypt. Defaults to 8.,performance,keystone
scrypt_parallelism,<None>,Optional parallelism to pass to scrypt hash function (the p parameter). This option is only used when the password_hash_algorithm option is set to scrypt. Defaults to 1.,security,keystone
salt_bytesize,<None>,Number of bytes to use in scrypt and pbkfd2_sha512 hashing salt.   Default for scrypt is 16 bytes. Default for pbkfd2_sha512 is 16 bytes.   Limited to a maximum of 96 bytes due to the size of the column used to  store password hashes.,performance,keystone
driver,sql,"Entry point for the identity mapping backend driver in the keystone.identity.id_mapping namespace. Keystone only provides a sql driver, so there is no reason to change this unless you are providing a custom entry point.",environment,keystone
generator,sha256,"Entry point for the public ID generator for user and group entities in the keystone.identity.id_generator namespace. The Keystone identity mapper only supports generators that produce 64 bytes or less. Keystone only provides a sha256 entry point, so there is no reason to change this value unless you're providing a custom entry point.",others,keystone
backward_compatible_ids,TRUE,"The format of user and group IDs changed in Juno for backends that do not generate UUIDs (for example, LDAP), with keystone providing a hash  mapping to the underlying attribute in LDAP. By default this mapping is  disabled, which ensures that existing IDs will not change. Even when the mapping is enabled by using domain-specific drivers ([identity] domain_specific_drivers_enabled), any users and groups from the default domain being handled by LDAP will still not be mapped to ensure their IDs remain backward compatible.  Setting this value to false will enable the new mapping for all  backends, including the default LDAP driver. It is only guaranteed to be safe to enable this option if you do not already have assignments for  users and groups from the default LDAP domain, and you consider it to be acceptable for Keystone to provide the different IDs to clients than it did previously (existing IDs in the API will suddenly change).  Typically this means that the only time you can set this value to false  is when configuring a fresh installation, although that is the  recommended value.",reliability,keystone
jws_public_key_repository,/etc/keystone/jws-keys/public,Directory containing public keys for validating JWS token signatures. This directory must exist in order for keystone's server process to  start. It must also be readable by keystone's server process. It must  contain at least one public key that corresponds to a private key in keystone.conf [jwt_tokens] jws_private_key_repository. This option is only applicable in deployments issuing JWS tokens and setting keystone.conf [tokens] provider = jws.,security,keystone
jws_private_key_repository,/etc/keystone/jws-keys/private,"Directory containing private keys for signing JWS tokens. This  directory must exist in order for keystone's server process to start. It must also be readable by keystone's server process. It must contain at  least one private key that corresponds to a public key in keystone.conf [jwt_tokens] jws_public_key_repository. In the event there are multiple private keys in this directory, keystone will use a key named private.pem to sign tokens. In the future, keystone may support the ability to sign tokens with multiple private keys. For now, only a key named private.pem within this directory is required to issue JWS tokens. This option is  only applicable in deployments issuing JWS tokens and setting keystone.conf [tokens] provider = jws.",security,keystone
