name,value,description,label,software
mapreduce.map.maxattempts,4,"Expert: The maximum number of attempts per map task. In other words, framework will try to execute a map task these many number of times before giving up on it.",reliability,mapreduce
mapreduce.reduce.maxattempts,4,"Expert: The maximum number of attempts per reduce task. In other words, framework will try to execute a reduce task these many number of times before giving up on it.",reliability,mapreduce
mapreduce.reduce.shuffle.fetch.retry.interval-ms,1000,Time of interval that fetcher retry to fetch again when some non-fatal failure happens because of some events like NM restart.,reliability,mapreduce
mapreduce.reduce.shuffle.fetch.retry.timeout-ms,30000,Timeout value for fetcher to retry to fetch again when some non-fatal failure happens because of some events like NM restart.,reliability,mapreduce
mapreduce.reduce.shuffle.retry-delay.max.ms,60000,The maximum number of ms the reducer will delay before retrying to download map data.,reliability,mapreduce
mapreduce.reduce.shuffle.parallelcopies,5,The default number of parallel transfers run by reduce during the copy(shuffle) phase.,performance,mapreduce
mapreduce.reduce.shuffle.connect.timeout,180000,Expert: The maximum amount of time (in milli seconds) reduce task spends in trying to connect to a remote node for getting map output.,reliability,mapreduce
mapreduce.reduce.shuffle.read.timeout,180000,Expert: The maximum amount of time (in milli seconds) reduce task waits for map output data to be available for reading after obtaining connection.,reliability,mapreduce
mapreduce.shuffle.listen.queue.size,128,The length of the shuffle server listen queue.,performance,mapreduce
mapreduce.shuffle.connection-keep-alive.timeout,5,"The number of seconds a shuffle client attempts to retain http connection. Refer ""Keep-Alive: timeout="" header in Http specification",reliability,mapreduce
mapreduce.task.timeout,600000,"The number of milliseconds before a task will be terminated if it neither reads an input, writes an output, nor updates its status string. A value of 0 disables the timeout.",reliability,mapreduce
mapreduce.map.memory.mb,1024,The amount of memory to request from the scheduler for each map task.,performance,mapreduce
mapreduce.map.cpu.vcores,1,The number of virtual cores to request from the scheduler for each map task.,performance,mapreduce
mapreduce.reduce.memory.mb,1024,The amount of memory to request from the scheduler for each reduce task.,performance,mapreduce
mapreduce.reduce.cpu.vcores,1,The number of virtual cores to request from the scheduler for each reduce task.,performance,mapreduce
mapred.child.java.opts,#NAME?,"Java opts for the task processes. The following symbol, if present, will be interpolated: @taskid@ is replaced by current TaskID. Any other occurrences of '@' will go unchanged. For example, to enable verbose gc logging to a file named for the taskid in /tmp and to set the heap maximum to be a gigabyte, pass a 'value' of: -Xmx1024m -verbose:gc -Xloggc:/tmp/@taskid@.gc Usage of -Djava.library.path can cause programs to no longer function if hadoop native libraries are used. These values should instead be set as part of LD_LIBRARY_PATH in the map / reduce JVM env using the mapreduce.map.env and mapreduce.reduce.env config settings.",others,mapreduce
mapred.child.env,,User added environment variables for the task processes. Example : 1) A=foo This will set the env variable A to foo 2) B=$B:c This is inherit nodemanager's B env variable on Unix. 3) B=%B%;c This is inherit nodemanager's B env variable on Windows.,environment,mapreduce
mapreduce.admin.user.env,,"Expert: Additional execution environment entries for map and reduce task processes. This is not an additive property. You must preserve the original value if you want your map and reduce tasks to have access to native libraries (compression, etc). When this value is empty, the command to set execution envrionment will be OS dependent: For linux, use LD_LIBRARY_PATH=$HADOOP_COMMON_HOME/lib/native. For windows, use PATH = %PATH%;%HADOOP_COMMON_HOME%\\bin.",environment,mapreduce
yarn.app.mapreduce.am.log.level,INFO,"The logging level for the MR ApplicationMaster. The allowed levels are: OFF, FATAL, ERROR, WARN, INFO, DEBUG, TRACE and ALL. The setting here could be overriden if ""mapreduce.job.log4j-properties-file"" is set.",debugability,mapreduce
mapreduce.map.log.level,INFO,"The logging level for the map task. The allowed levels are: OFF, FATAL, ERROR, WARN, INFO, DEBUG, TRACE and ALL. The setting here could be overridden if ""mapreduce.job.log4j-properties-file"" is set.",debugability,mapreduce
mapreduce.reduce.log.level,INFO,"The logging level for the reduce task. The allowed levels are: OFF, FATAL, ERROR, WARN, INFO, DEBUG, TRACE and ALL. The setting here could be overridden if ""mapreduce.job.log4j-properties-file"" is set.",debugability,mapreduce
mapreduce.reduce.merge.inmem.threshold,1000,"The threshold, in terms of the number of files for the in-memory merge process. When we accumulate threshold number of files we initiate the in-memory merge and spill to disk. A value of 0 or less than 0 indicates we want to DON'T have any threshold and instead depend only on the ramfs's memory consumption to trigger the merge.",performance,mapreduce
mapreduce.reduce.shuffle.merge.percent,0.66,"The usage threshold at which an in-memory merge will be initiated, expressed as a percentage of the total memory allocated to storing in-memory map outputs, as defined by mapreduce.reduce.shuffle.input.buffer.percent.",performance,mapreduce
mapreduce.reduce.shuffle.input.buffer.percent,0.7,The percentage of memory to be allocated from the maximum heap size to storing map outputs during the shuffle.,performance,mapreduce
mapreduce.reduce.input.buffer.percent,0,"The percentage of memory- relative to the maximum heap size- to retain map outputs during the reduce. When the shuffle is concluded, any remaining map outputs in memory must consume less than this threshold before the reduce can begin.",performance,mapreduce
mapreduce.reduce.shuffle.memory.limit.percent,0.25,"Expert: Maximum percentage of the in-memory limit that a single shuffle can consume. Range of valid values is [0.0, 1.0]. If the value is 0.0 map outputs are shuffled directly to disk.",performance,mapreduce
mapreduce.shuffle.ssl.enabled,FALSE,Whether to use SSL for for the Shuffle HTTP endpoints.,security,mapreduce
mapreduce.shuffle.ssl.file.buffer.size,65536,Buffer size for reading spills from file when using SSL.,performance,mapreduce
mapreduce.shuffle.max.connections,0,Max allowed connections for the shuffle. Set to 0 (zero) to indicate no limit on the number of connections.,performance,mapreduce
mapreduce.shuffle.max.threads,0,"Max allowed threads for serving shuffle connections. Set to zero to indicate the default of 2 times the number of available processors (as reported by Runtime.availableProcessors()). Netty is used to serve requests, so a thread is not needed for each connection.",performance,mapreduce
mapreduce.shuffle.transferTo.allowed,,"This option can enable/disable using nio transferTo method in the shuffle phase. NIO transferTo does not perform well on windows in the shuffle phase. Thus, with this configuration property it is possible to disable it, in which case custom transfer method will be used. Recommended value is false when running Hadoop on Windows. For Linux, it is recommended to set it to true. If nothing is set then the default value is false for Windows, and true for Linux.",performance,mapreduce
mapreduce.shuffle.transfer.buffer.size,131072,"This property is used only if mapreduce.shuffle.transferTo.allowed is set to false. In that case, this property defines the size of the buffer used in the buffer copy code for the shuffle phase. The size of this buffer determines the size of the IO requests.",performance,mapreduce
mapreduce.reduce.markreset.buffer.percent,0,The percentage of memory -relative to the maximum heap size- to be used for caching values when using the mark-reset functionality.,performance,mapreduce
mapreduce.map.speculative,TRUE,"If true, then multiple instances of some map tasks may be executed in parallel.",performance,mapreduce
mapreduce.reduce.speculative,TRUE,"If true, then multiple instances of some reduce tasks may be executed in parallel.",performance,mapreduce
mapreduce.job.speculative.speculative-cap-running-tasks,0.1,The max percent (0-1) of running tasks that can be speculatively re-executed at any time.,reliability,mapreduce
mapreduce.job.speculative.speculative-cap-total-tasks,0.01,The max percent (0-1) of all tasks that can be speculatively re-executed at any time.,reliability,mapreduce
mapreduce.job.speculative.minimum-allowed-tasks,10,The minimum allowed tasks that can be speculatively re-executed at any time.,performance,mapreduce
mapreduce.job.speculative.retry-after-no-speculate,1000,The waiting time(ms) to do next round of speculation if there is no task speculated in this round.,reliability,mapreduce
mapreduce.job.speculative.retry-after-speculate,15000,The waiting time(ms) to do next round of speculation if there are tasks speculated in this round.,reliability,mapreduce
mapreduce.job.speculative.slowtaskthreshold,1,The number of standard deviations by which a task's ave progress-rates must be lower than the average of all running tasks' for the task to be considered too slow.,performance,mapreduce
mapreduce.job.ubertask.enable,FALSE,"Whether to enable the small-jobs ""ubertask"" optimization, which runs ""sufficiently small"" jobs sequentially within a single JVM. ""Small"" is defined by the following maxmaps, maxreduces, and maxbytes settings. Note that configurations for application masters also affect the ""Small"" definition - yarn.app.mapreduce.am.resource.mb must be larger than both mapreduce.map.memory.mb and mapreduce.reduce.memory.mb, and yarn.app.mapreduce.am.resource.cpu-vcores must be larger than both mapreduce.map.cpu.vcores and mapreduce.reduce.cpu.vcores to enable ubertask. Users may override this value.",performance,mapreduce
mapreduce.job.ubertask.maxmaps,9,"Threshold for number of maps, beyond which job is considered too big for the ubertasking optimization. Users may override this value, but only downward.",performance,mapreduce
mapreduce.job.ubertask.maxreduces,1,"Threshold for number of reduces, beyond which job is considered too big for the ubertasking optimization. CURRENTLY THE CODE CANNOT SUPPORT MORE THAN ONE REDUCE and will ignore larger values. (Zero is a valid max, however.) Users may override this value, but only downward.",performance,mapreduce
mapreduce.job.ubertask.maxbytes,,"Threshold for number of input bytes, beyond which job is considered too big for the ubertasking optimization. If no value is specified, dfs.block.size is used as a default. Be sure to specify a default value in mapred-site.xml if the underlying filesystem is not HDFS. Users may override this value, but only downward.",performance,mapreduce
mapreduce.input.fileinputformat.split.minsize,0,The minimum size chunk that map input should be split into. Note that some file formats may have minimum split sizes that take priority over this setting.,performance,mapreduce
mapreduce.input.fileinputformat.list-status.num-threads,1,The number of threads to use to list and fetch block locations for the specified input paths. Note: multiple threads should not be used if a custom non thread-safe path filter is used.,performance,mapreduce
mapreduce.client.submit.file.replication,10,The replication level for submitted job files. This should be around the square root of the number of nodes.,reliability,mapreduce
mapreduce.task.files.preserve.failedtasks,FALSE,"Should the files for failed tasks be kept. This should only be used on jobs that are failing, because the storage is never reclaimed. It also prevents the map outputs from being erased from the reduce directory as they are consumed.",reliability,mapreduce
yarn.app.mapreduce.task.container.log.backups,0,"Number of backup files for task logs when using ContainerRollingLogAppender (CRLA). See org.apache.log4j.RollingFileAppender.maxBackupIndex. By default, ContainerLogAppender (CLA) is used, and container logs are not rolled. CRLA is enabled for tasks when both mapreduce.task.userlog.limit.kb and yarn.app.mapreduce.task.container.log.backups are greater than zero.",reliability,mapreduce
yarn.app.mapreduce.am.container.log.backups,0,"Number of backup files for the ApplicationMaster logs when using ContainerRollingLogAppender (CRLA). See org.apache.log4j.RollingFileAppender.maxBackupIndex. By default, ContainerLogAppender (CLA) is used, and container logs are not rolled. CRLA is enabled for the ApplicationMaster when both yarn.app.mapreduce.am.container.log.limit.kb and yarn.app.mapreduce.am.container.log.backups are greater than zero.",reliability,mapreduce
yarn.app.mapreduce.shuffle.log.separate,TRUE,If enabled ('true') logging generated by the client-side shuffle classes in a reducer will be written in a dedicated log file 'syslog.shuffle' instead of 'syslog'.,debugability,mapreduce
yarn.app.mapreduce.shuffle.log.backups,0,If yarn.app.mapreduce.shuffle.log.limit.kb and yarn.app.mapreduce.shuffle.log.backups are greater than zero then a ContainerRollngLogAppender is used instead of ContainerLogAppender for syslog.shuffle. See org.apache.log4j.RollingFileAppender.maxBackupIndex,reliability,mapreduce
mapreduce.job.maxtaskfailures.per.tracker,3,The number of task-failures on a node manager of a given job after which new tasks of that job aren't assigned to it. It MUST be less than mapreduce.map.maxattempts and mapreduce.reduce.maxattempts otherwise the failed task will never be tried on a different node.,reliability,mapreduce
mapreduce.client.completion.pollinterval,5000,The interval (in milliseconds) between which the JobClient polls the MapReduce ApplicationMaster for updates about job status. You may want to set this to a lower value to make tests run faster on a single node system. Adjusting this value in production may lead to unwanted client-server traffic.,reliability,mapreduce
mapreduce.client.progressmonitor.pollinterval,1000,The interval (in milliseconds) between which the JobClient reports status to the console and checks for job completion. You may want to set this to a lower value to make tests run faster on a single node system. Adjusting this value in production may lead to unwanted client-server traffic.,reliability,mapreduce
mapreduce.client.libjars.wildcard,TRUE,"Whether the libjars cache files should be localized using a wildcarded directory instead of naming each archive independently. Using wildcards reduces the space needed for storing the job information in the case of a highly available resource manager configuration. This propery should only be set to false for specific jobs which are highly sensitive to the details of the archive localization. Having this property set to true will cause the archives to all be localized to the same local cache location. If false, each archive will be localized to its own local cache location. In both cases a symbolic link will be created to every archive from the job's working directory.",performance,mapreduce
mapreduce.task.profile,FALSE,"To set whether the system should collect profiler information for some of the tasks in this job? The information is stored in the user log directory. The value is ""true"" if task profiling is enabled.",debugability,mapreduce
mapreduce.task.skip.start.attempts,2,"The number of Task attempts AFTER which skip mode will be kicked off. When skip mode is kicked off, the tasks reports the range of records which it will process next, to the MR ApplicationMaster. So that on failures, the MR AM knows which ones are possibly the bad records. On further executions, those are skipped.",reliability,mapreduce
mapreduce.map.skip.proc-count.auto-incr,TRUE,"The flag which if set to true, SkipBadRecords.COUNTER_MAP_PROCESSED_RECORDS is incremented by MapRunner after invoking the map function. This value must be set to false for applications which process the records asynchronously or buffer the input records. For example streaming. In such cases applications should increment this counter on their own.",reliability,mapreduce
mapreduce.reduce.skip.proc-count.auto-incr,TRUE,"The flag which if set to true, SkipBadRecords.COUNTER_REDUCE_PROCESSED_GROUPS is incremented by framework after invoking the reduce function. This value must be set to false for applications which process the records asynchronously or buffer the input records. For example streaming. In such cases applications should increment this counter on their own.",reliability,mapreduce
mapreduce.map.skip.maxrecords,0,"The number of acceptable skip records surrounding the bad record PER bad record in mapper. The number includes the bad record as well. To turn the feature of detection/skipping of bad records off, set the value to 0. The framework tries to narrow down the skipped range by retrying until this threshold is met OR all attempts get exhausted for this task. Set the value to Long.MAX_VALUE to indicate that framework need not try to narrow down. Whatever records(depends on application) get skipped are acceptable.",reliability,mapreduce
mapreduce.reduce.skip.maxgroups,0,"The number of acceptable skip groups surrounding the bad group PER bad group in reducer. The number includes the bad group as well. To turn the feature of detection/skipping of bad groups off, set the value to 0. The framework tries to narrow down the skipped range by retrying until this threshold is met OR all attempts get exhausted for this task. Set the value to Long.MAX_VALUE to indicate that framework need not try to narrow down. Whatever groups(depends on application) get skipped are acceptable.",reliability,mapreduce
mapreduce.ifile.readahead.bytes,4194304,Configuration key to set the IFile readahead length in bytes.,performance,mapreduce
mapreduce.job.tags,,Tags for the job that will be passed to YARN at submission time. Queries to YARN for applications can filter on these tags.,manageability,mapreduce
mapreduce.cluster.local.dir,${hadoop.tmp.dir}/mapred/local,The local directory where MapReduce stores intermediate data files. May be a comma-separated list of directories on different devices in order to spread disk i/o. Directories that do not exist are ignored.,environment,mapreduce
mapreduce.cluster.acls.enabled,FALSE,"Specifies whether ACLs should be checked for authorization of users for doing various queue and job level operations. ACLs are disabled by default. If enabled, access control checks are made by MapReduce ApplicationMaster when requests are made by users for queue operations like submit job to a queue and kill a job in the queue and job operations like viewing the job-details (See mapreduce.job.acl-view-job) or for modifying the job (See mapreduce.job.acl-modify-job) using Map/Reduce APIs, RPCs or via the console and web user interfaces. For enabling this flag, set to true in mapred-site.xml file of all MapReduce clients (MR job submitting nodes).",security,mapreduce
mapreduce.job.acl-modify-job,,"Job specific access-control list for 'modifying' the job. It is only used if authorization is enabled in Map/Reduce by setting the configuration property mapreduce.cluster.acls.enabled to true. This specifies the list of users and/or groups who can do modification operations on the job. For specifying a list of users and groups the format to use is ""user1,user2 group1,group"". If set to '*', it allows all users/groups to modify this job. If set to ' '(i.e. space), it allows none. This configuration is used to guard all the modifications with respect to this job and takes care of all the following operations: o killing this job o killing a task of this job, failing a task of this job o setting the priority of this job Each of these operations are also protected by the per-queue level ACL ""acl-administer-jobs"" configured via mapred-queues.xml. So a caller should have the authorization to satisfy either the queue-level ACL or the job-level ACL. Irrespective of this ACL configuration, (a) job-owner, (b) the user who started the cluster, (c) members of an admin configured supergroup configured via mapreduce.cluster.permissions.supergroup and (d) queue administrators of the queue to which this job was submitted to configured via acl-administer-jobs for the specific queue in mapred-queues.xml can do all the modification operations on a job. By default, nobody else besides job-owner, the user who started the cluster, members of supergroup and queue administrators can perform modification operations on a job.",security,mapreduce
mapreduce.job.acl-view-job,,"Job specific access-control list for 'viewing' the job. It is only used if authorization is enabled in Map/Reduce by setting the configuration property mapreduce.cluster.acls.enabled to true. This specifies the list of users and/or groups who can view private details about the job. For specifying a list of users and groups the format to use is ""user1,user2 group1,group"". If set to '*', it allows all users/groups to modify this job. If set to ' '(i.e. space), it allows none. This configuration is used to guard some of the job-views and at present only protects APIs that can return possibly sensitive information of the job-owner like o job-level counters o task-level counters o tasks' diagnostic information o task-logs displayed on the HistoryServer's web-UI and o job.xml showed by the HistoryServer's web-UI Every other piece of information of jobs is still accessible by any other user, for e.g., JobStatus, JobProfile, list of jobs in the queue, etc. Irrespective of this ACL configuration, (a) job-owner, (b) the user who started the cluster, (c) members of an admin configured supergroup configured via mapreduce.cluster.permissions.supergroup and (d) queue administrators of the queue to which this job was submitted to configured via acl-administer-jobs for the specific queue in mapred-queues.xml can do all the view operations on a job. By default, nobody else besides job-owner, the user who started the cluster, memebers of supergroup and queue administrators can perform view operations on a job.",security,mapreduce
mapreduce.job.complete.cancel.delegation.tokens,TRUE,"if false - do not unregister/cancel delegation tokens from renewal, because same tokens may be used by spawned jobs",reliability,mapreduce
mapreduce.shuffle.port,13562,Default port that the ShuffleHandler will run on. ShuffleHandler is a service run at the NodeManager to facilitate transfers of intermediate Map outputs to requesting Reducers.,environment,mapreduce
mapreduce.job.counters.limit,120,Limit on the number of user counters allowed per job.,reliability,mapreduce
yarn.app.mapreduce.am.staging-dir,/tmp/hadoop-yarn/staging,The staging dir used while submitting jobs.,environment,mapreduce
mapreduce.am.max-attempts,2,"The maximum number of application attempts. It is a application-specific setting. It should not be larger than the global number set by resourcemanager. Otherwise, it will be override. The default number is set to 2, to allow at least one retry for AM.",reliability,mapreduce
mapreduce.job.end-notification.retry.attempts,0,The number of times the submitter of the job wants to retry job end notification if it fails. This is capped by mapreduce.job.end-notification.max.attempts,reliability,mapreduce
mapreduce.job.end-notification.retry.interval,1000,The number of milliseconds the submitter of the job wants to wait before job end notification is retried if it fails. This is capped by mapreduce.job.end-notification.max.retry.interval,reliability,mapreduce
mapreduce.job.end-notification.max.attempts,5,"The maximum number of times a URL will be read for providing job end notification. Cluster administrators can set this to limit how long after end of a job, the Application Master waits before exiting. Must be marked as final to prevent users from overriding this.",reliability,mapreduce
mapreduce.job.end-notification.max.retry.interval,5000,The maximum amount of time (in milliseconds) to wait before retrying job end notification. Cluster administrators can set this to limit how long the Application Master waits before exiting. Must be marked as final to prevent users from overriding this.,reliability,mapreduce
yarn.app.mapreduce.am.env,,User added environment variables for the MR App Master processes. Example : 1) A=foo This will set the env variable A to foo 2) B=$B:c This is inherit tasktracker's B env variable.,environment,mapreduce
yarn.app.mapreduce.am.admin.user.env,,Environment variables for the MR App Master processes for admin purposes. These values are set first and can be overridden by the user env (yarn.app.mapreduce.am.env) Example : 1) A=foo This will set the env variable A to foo 2) B=$B:c This is inherit app master's B env variable.,environment,mapreduce
yarn.app.mapreduce.am.command-opts,#NAME?,"Java opts for the MR App Master processes. The following symbol, if present, will be interpolated: @taskid@ is replaced by current TaskID. Any other occurrences of '@' will go unchanged. For example, to enable verbose gc logging to a file named for the taskid in /tmp and to set the heap maximum to be a gigabyte, pass a 'value' of: -Xmx1024m -verbose:gc -Xloggc:/tmp/@taskid@.gc Usage of -Djava.library.path can cause programs to no longer function if hadoop native libraries are used. These values should instead be set as part of LD_LIBRARY_PATH in the map / reduce JVM env using the mapreduce.map.env and mapreduce.reduce.env config settings.",manageability,mapreduce
yarn.app.mapreduce.am.admin-command-opts,,Java opts for the MR App Master processes for admin purposes. It will appears before the opts set by yarn.app.mapreduce.am.command-opts and thus its options can be overridden user. Usage of -Djava.library.path can cause programs to no longer function if hadoop native libraries are used. These values should instead be set as part of LD_LIBRARY_PATH in the map / reduce JVM env using the mapreduce.map.env and mapreduce.reduce.env config settings.,manageability,mapreduce
yarn.app.mapreduce.am.job.task.listener.thread-count,30,The number of threads used to handle RPC calls in the MR AppMaster from remote tasks,performance,mapreduce
yarn.app.mapreduce.am.job.client.port-range,,"Range of ports that the MapReduce AM can use when binding. Leave blank if you want all possible ports. For example 50000-50050,50100-50200",environment,mapreduce
yarn.app.mapreduce.am.webapp.port-range,,"Range of ports that the MapReduce AM can use for its webapp when binding. Leave blank if you want all possible ports. For example 50000-50050,50100-50200",environment,mapreduce
yarn.app.mapreduce.am.job.committer.cancel-timeout,60000,The amount of time in milliseconds to wait for the output committer to cancel an operation if the job is killed,reliability,mapreduce
yarn.app.mapreduce.am.job.committer.commit-window,10000,"Defines a time window in milliseconds for output commit operations. If contact with the RM has occurred within this window then commits are allowed, otherwise the AM will not allow output commits until contact with the RM has been re-established.",reliability,mapreduce
yarn.app.mapreduce.am.scheduler.heartbeat.interval-ms,1000,The interval in ms at which the MR AppMaster should send heartbeats to the ResourceManager,reliability,mapreduce
yarn.app.mapreduce.client-am.ipc.max-retries,3,The number of client retries to the AM - before reconnecting to the RM to fetch Application Status.,reliability,mapreduce
yarn.app.mapreduce.client-am.ipc.max-retries-on-timeouts,3,The number of client retries on socket timeouts to the AM - before reconnecting to the RM to fetch Application Status.,reliability,mapreduce
yarn.app.mapreduce.client.max-retries,3,The number of client retries to the RM/HS before throwing exception. This is a layer above the ipc.,reliability,mapreduce
yarn.app.mapreduce.am.resource.cpu-vcores,1,The number of virtual CPU cores the MR AppMaster needs.,performance,mapreduce
yarn.app.mapreduce.am.hard-kill-timeout-ms,10000,Number of milliseconds to wait before the job client kills the application.,reliability,mapreduce
yarn.app.mapreduce.client.job.max-retries,3,"The number of retries the client will make for getJob and dependent calls. This is needed for non-HDFS DFS where additional, high level retries are required to avoid spurious failures during the getJob call. 30 is a good value for WASB",reliability,mapreduce
yarn.app.mapreduce.client.job.retry-interval,2000,The delay between getJob retries in ms for retries configured with yarn.app.mapreduce.client.job.max-retries.,reliability,mapreduce
mapreduce.application.classpath,,"CLASSPATH for MR applications. A comma-separated list of CLASSPATH entries. If mapreduce.application.framework is set then this must specify the appropriate classpath for that archive, and the name of the archive must be present in the classpath. If mapreduce.app-submission.cross-platform is false, platform-specific environment vairable expansion syntax would be used to construct the default CLASSPATH entries. For Linux: $HADOOP_MAPRED_HOME/share/hadoop/mapreduce/*, $HADOOP_MAPRED_HOME/share/hadoop/mapreduce/lib/*. For Windows: %HADOOP_MAPRED_HOME%/share/hadoop/mapreduce/*, %HADOOP_MAPRED_HOME%/share/hadoop/mapreduce/lib/*. If mapreduce.app-submission.cross-platform is true, platform-agnostic default CLASSPATH for MR applications would be used: {{HADOOP_MAPRED_HOME}}/share/hadoop/mapreduce/*, {{HADOOP_MAPRED_HOME}}/share/hadoop/mapreduce/lib/* Parameter expansion marker will be replaced by NodeManager on container launch based on the underlying OS accordingly.",environment,mapreduce
mapreduce.app-submission.cross-platform,FALSE,"If enabled, user can submit an application cross-platform i.e. submit an application from a Windows client to a Linux/Unix server or vice versa.",manageability,mapreduce
mapreduce.application.framework.path,,"Path to the MapReduce framework archive. If set, the framework archive will automatically be distributed along with the job, and this path would normally reside in a public location in an HDFS filesystem. As with distributed cache files, this can be a URL with a fragment specifying the alias to use for the archive name. For example, hdfs:/mapred/framework/hadoop-mapreduce-2.1.1.tar.gz#mrframework would alias the localized archive as ""mrframework"". Note that mapreduce.application.classpath must include the appropriate classpath for the specified framework. The base name of the archive, or alias of the archive if an alias is used, must appear in the specified classpath.",environment,mapreduce
mapreduce.job.classloader,FALSE,Whether to use a separate (isolated) classloader for user classes in the task JVM.,manageability,mapreduce
mapreduce.job.classloader.system.classes,,"Used to override the default definition of the system classes for the job classloader. The system classes are a comma-separated list of patterns that indicate whether to load a class from the system classpath, instead from the user-supplied JARs, when mapreduce.job.classloader is enabled. A positive pattern is defined as: 1. A single class name 'C' that matches 'C' and transitively all nested classes 'C$*' defined in C; 2. A package name ending with a '.' (e.g., ""com.example."") that matches all classes from that package. A negative pattern is defined by a '-' in front of a positive pattern (e.g., ""-com.example.""). A class is considered a system class if and only if it matches one of the positive patterns and none of the negative ones. More formally: A class is a member of the inclusion set I if it matches one of the positive patterns. A class is a member of the exclusion set E if it matches one of the negative patterns. The set of system classes S = I \ E.",manageability,mapreduce
mapreduce.jvm.system-properties-to-log,"os.name,os.version,java.home,java.runtime.version,java.vendor,java.version,java.vm.name,java.class.path,java.io.tmpdir,user.dir,user.name",Comma-delimited list of system properties to log on mapreduce JVM start,debugability,mapreduce
mapreduce.jobhistory.address,0.0.0.0:10020,MapReduce JobHistory Server IPC host:port,environment,mapreduce
mapreduce.jobhistory.webapp.address,0.0.0.0:19888,MapReduce JobHistory Server Web UI host:port,environment,mapreduce
mapreduce.jobhistory.webapp.https.address,0.0.0.0:19890,The https address the MapReduce JobHistory Server WebApp is on.,environment,mapreduce
mapreduce.jobhistory.keytab,/etc/security/keytab/jhs.service.keytab,Location of the kerberos keytab file for the MapReduce JobHistory Server.,environment,mapreduce
mapreduce.jobhistory.principal,jhs/_HOST@REALM.TLD,Kerberos principal name for the MapReduce JobHistory Server.,security,mapreduce
mapreduce.jobhistory.cleaner.interval-ms,86400000,"How often the job history cleaner checks for files to delete, in milliseconds. Defaults to 86400000 (one day). Files are only deleted if they are older than mapreduce.jobhistory.max-age-ms.",performance,mapreduce
mapreduce.jobhistory.max-age-ms,604800000,Job history files older than this many milliseconds will be deleted when the history cleaner runs. Defaults to 604800000 (1 week).,performance,mapreduce
mapreduce.jobhistory.client.thread-count,10,The number of threads to handle client API requests,performance,mapreduce
mapreduce.jobhistory.datestring.cache.size,200000,Size of the date string cache. Effects the number of directories which will be scanned to find a job.,performance,mapreduce
mapreduce.jobhistory.joblist.cache.size,20000,Size of the job list cache,performance,mapreduce
