software,name,description,label
kudu,table_locations_ttl_ms,Maximum time in milliseconds which clients may cache table locations.,reliability
kudu,tablet_creation_timeout_ms,Timeout used by the master when attempting to create tablet replicas during table creation.,reliability
kudu,unresponsive_ts_rpc_timeout_ms,"After this amount of time, the master will stop attempting to contact a tablet server in order to perform operations such as deleting a tablet.",reliability
kudu,tserver_unresponsive_timeout_ms,The period of time that a Master can go without receiving a heartbeat from a tablet server before considering it unresponsive.,reliability
kudu,rpc_acceptor_listen_backlog,Socket backlog parameter used when listening for RPC connections. ,manageability
kudu,rpc_encrypt_loopback_connections,Whether to encrypt data transfer on RPC connections that stay within a single host. ,security
kudu,rpc_callback_max_cycles,The maximum number of cycles for which an RPC callback should be allowed to run without emitting a warning.,reliability
kudu,remember_clients_ttl_ms,"Maximum amount of time, in milliseconds, the server ""remembers"" a client for the purpose of caching its responses.",performance
kudu,trusted_subnets,"A trusted subnet whitelist. If set explicitly, all unauthenticated or unencrypted connections are prohibited except the ones from the specified address blocks.",security
kudu,rpc_max_message_size,The maximum size of a message that any RPC that the server will accept. ,reliability
kudu,use_system_auth_to_local,"When enabled, use the system krb5 library to map Kerberos principal names to local (short) usernames.",manageability
kudu,rpc_advertised_addresses,Comma-separated list of addresses to advertise externally for RPC connections.,environment
kudu,rpc_num_acceptors_per_address,Number of RPC acceptor threads for each bound address,performance
kudu,rpc_authentication,Whether to require RPC connections to authenticate.,security
kudu,rpc_default_keepalive_time_ms,"If an RPC connection from a client is idle for this amount of time, the server will disconnect the client. Setting this to any negative value keeps connections always alive.",reliability
kudu,rpc_encryption,Whether to require RPC connections to be encrypted. ,security
kudu,rpc_negotiation_timeout_ms,Timeout for negotiating an RPC connection.,reliability
kudu,rpc_tls_min_protocol,The minimum protocol version to allow when for securing RPC connections with TLS.,environment
kudu,webserver_enabled,Whether to enable the web server on this daemon.,manageability
kudu,metrics_log_interval_ms,Interval (in milliseconds) at which the server will dump its metrics to a local log file.,debuggability
kudu,webserver_advertised_addresses,Comma-separated list of addresses to advertise externally for HTTP(S) connections.,environment
kudu,webserver_authentication_domain,Domain used for debug webserver authentication,debuggability
kudu,webserver_enable_doc_root,"If true, webserver may serve static files from the webserver_doc_root",manageability
kudu,webserver_interface,Interface to start debug webserver on. ,debuggability
kudu,tablet_bloom_block_size,Block size of the bloom filters used for tablet keys,manageability
kudu,tablet_history_max_age_sec,Number of seconds to retain tablet history. Reads initiated at a snapshot that is older than this age will be rejected.,reliability
kudu,tablet_transaction_memory_limit_mb,Maximum amount of memory that may be consumed by all in-flight transactions belonging to a particular tablet.,reliability
kudu,scanner_ttl_ms,Number of milliseconds of inactivity allowed for a scannerbefore it may be expired,reliability
kudu,tablet_copy_begin_session_timeout_ms,Tablet server RPC client timeout for BeginTabletCopySession calls.,reliability
kudu,tablet_copy_idle_timeout_sec,"Amount of time without activity before a tablet copy session will expire, in seconds",reliability
kudu,num_tablets_to_copy_simultaneously,Number of threads available to copy tablets from remote servers.,performance
kudu,num_tablets_to_delete_simultaneously,Number of threads available to delete tablets. ,performance
kudu,num_tablets_to_open_simultaneously,Number of threads available to open tablets during startup,performance
kudu,disable_core_dumps,Disable core dumps when this process crashes.,debuggability
kudu,metrics_retirement_age_ms,The minimum number of milliseconds a metric will be kept for after it is no longer active.,reliability
kudu,minidump_path,Directory to write minidump files to. ,environment
kudu,minidump_size_limit_hint_kb,Size limit hint for minidump files in KB.,reliability
kudu,memory_limit_soft_percentage,Percentage of the hard memory limit that this daemon may consume before memory throttling of writes begins. ,performance
kudu,logfile_mode,Log file mode/permissions.,security
kudu,tserver_master_addrs,Comma separated addresses of the masters which the tablet server should connect to. ,environment
kudu,log_prefix,Prepend the log prefix to the start of each log line,others
kudu,remember_responses_ttl_ms,"Maximum amount of time, in milliseconds, the server ""remembers"" a response to a specific request for a client. ",reliability
kudu,redact,Comma-separated list that controls redaction context. ,security
kudu,enable_minidumps,Whether to enable minidump generation upon process crash or SIGUSR1. ,reliability
kudu,max_minidumps,Maximum number of minidump files to keep per daemon.,reliability
kudu,tcmalloc_max_free_bytes_percentage,Maximum percentage of the RSS that tcmalloc is allowed to use for reserved but unallocated memory.,reliability
