name,default,description,label,software
post_deploy_get_power_state_retries,6,Number of times to retry getting power state to check if bare metal  node has been powered off after a soft power off. Value of 0 means do  not retry on failure.,reliability,ironic
post_deploy_get_power_state_retry_interval,5,Amount of time (in seconds) to wait between polling power state after trigger soft poweroff.,reliability,ironic
extra_memory,10,Extra amount of memory in MiB expected to be consumed by  Ansible-related processes on the node. Affects decision whether image  will fit into RAM.,performance,ironic
image_store_insecure,FALSE,Skip verifying SSL connections to the image store when downloading  the image. Setting it to 'True' is only recommended for testing  environments that use self-signed certificates.,security,ironic
image_store_cafile,<None>,"Specific CA bundle to use for validating SSL connections to the image store. If not specified, CA available in the ramdisk will be used. Is  not used by default playbooks included with the driver. Suitable for  environments that use self-signed certificates.",security,ironic
image_store_certfile,<None>,Client cert to use for SSL connections to image store. Is not used by default playbooks included with the driver.,security,ironic
image_store_keyfile,<None>,Client key to use for SSL connections to image store. Is not used by default playbooks included with the driver.,security,ironic
default_key_file,<None>,Absolute path to the private SSH key file to use by Ansible by  default when connecting to the ramdisk over SSH. Default is to use  default SSH keys configured for the user running the ironic-conductor  service. Private keys with password must be pre-loaded into 'ssh-agent'. It may be overridden by per-node 'ansible_key_file' option in node's  'driver_info' field.,environment,ironic
default_deploy_playbook,deploy.yaml,Path (relative to $playbooks_path or absolute) to the default  playbook used for deployment. It may be overridden by per-node  'ansible_deploy_playbook' option in node's 'driver_info' field.,environment,ironic
default_shutdown_playbook,shutdown.yaml,Path (relative to $playbooks_path or absolute) to the default  playbook used for graceful in-band shutdown of the node. It may be  overridden by per-node 'ansible_shutdown_playbook' option in node's  'driver_info' field.,environment,ironic
default_clean_playbook,clean.yaml,Path (relative to $playbooks_path or absolute) to the default  playbook used for node cleaning. It may be overridden by per-node  'ansible_clean_playbook' option in node's 'driver_info' field.,environment,ironic
default_clean_steps_config,clean_steps.yaml,Path (relative to $playbooks_path or absolute) to the default  auxiliary cleaning steps file used during the node cleaning. It may be  overridden by per-node 'ansible_clean_steps_config' option in node's  'driver_info' field.,environment,ironic
default_python_interpreter,<None>,"Absolute path to the python interpreter on the managed machines. It  may be overridden by per-node 'ansible_python_interpreter' option in  node's 'driver_info' field. By default, ansible uses /usr/bin/python",environment,ironic
host_ip,0.0.0.0,The IP address or hostname on which ironic-api listens.,environment,ironic
port,6385,The TCP port on which ironic-api listens.,environment,ironic
max_limit,1000,The maximum number of items returned in a single response from a collection resource.,performance,ironic
public_endpoint,<None>,"Public URL to use when building the links to the API resources (for example, 'https://ironic.rocks:6384'). If None the links will be built using the request's host URL. If the  API is operating behind a proxy, you will want to change this to  represent the proxy's URL. Defaults to None.",environment,ironic
api_workers,<None>,"Number of workers for OpenStack Ironic API service. The default is  equal to the number of CPUs available if that can be determined, else a  default worker count of 1 is returned.",performance,ironic
enable_ssl_api,FALSE,"Enable the integrated stand-alone API to service requests via HTTPS  instead of HTTP. If there is a front-end service performing HTTPS  offloading from the service, this option should be False; note, you will want to change public API endpoint to represent SSL termination URL  with 'public_endpoint' option.",security,ironic
restrict_lookup,TRUE,Whether to restrict the lookup API to only nodes in certain states.,security,ironic
ramdisk_heartbeat_timeout,300,Maximum interval (in seconds) for agent heartbeats.,reliability,ironic
enabled,FALSE,Enable auditing of API requests (for ironic-api service).,security,ironic
audit_map_file,/etc/ironic/api_audit_map.conf,Path to audit map file for ironic-api service. Used only when API audit is enabled.,security,ironic
max_retry,6,Number of times a power operation needs to be retried,reliability,ironic
action_interval,10,Amount of time in seconds to wait in between power operations,reliability,ironic
action_retries,3,Number of retries in the case of a failed action (currently only used when detaching volumes).,reliability,ironic
action_retry_interval,5,Retry interval in seconds in the case of a failed action (only specific actions are retried).,reliability,ironic
auth_url,<None>,Authentication URL,security,ironic
auth_type,<None>,Authentication type to load,security,ironic
cafile,<None>,PEM encoded Certificate Authority to use when verifying HTTPs connections.,security,ironic
certfile,<None>,PEM encoded client certificate cert file,security,ironic
collect_timing,FALSE,Collect per-API call timing information.,debuggability,ironic
default_domain_id,<None>,Optional domain ID to use with v3 and v2 parameters. It will be used  for both the user and project domain in v3 and ignored in v2  authentication.,environment,ironic
default_domain_name,<None>,Optional domain name to use with v3 API and v2 parameters. It will be used for both the user and project domain in v3 and ignored in v2  authentication.,environment,ironic
domain_id,<None>,Domain ID to scope to,environment,ironic
domain_name,<None>,Domain name to scope to,environment,ironic
endpoint_override,<None>,"Always use this endpoint URL for requests for this client. NOTE: The  unversioned endpoint should be specified here; to request a particular  API version, use the version, min-version, and/or max-version options.",environment,ironic
insecure,FALSE,Verify HTTPS connections.,security,ironic
keyfile,<None>,PEM encoded client certificate key file,environment,ironic
max_version,<None>,"The maximum major version of a given API, intended to be used as the  upper bound of a range with min_version. Mutually exclusive with  version.",environment,ironic
min_version,<None>,"The minimum major version of a given API, intended to be used as the  lower bound of a range with max_version. Mutually exclusive with  version. If min_version is given with no max_version it is as if max  version is 'latest'.",environment,ironic
password,<None>,User's password,security,ironic
project_domain_id,<None>,Domain ID containing project,environment,ironic
project_domain_name,<None>,Domain name containing project,environment,ironic
project_id,<None>,Project ID to scope to,environment,ironic
project_name,<None>,Project name to scope to,environment,ironic
region_name,<None>,The default region_name for endpoint URL discovery.,environment,ironic
retries,3,Client retries in the case of a failed request connection.,reliability,ironic
service_name,<None>,The default service_name for endpoint URL discovery.,environment,ironic
service_type,volumev3,The default service_type for endpoint URL discovery.,others,ironic
split_loggers,FALSE,Log requests to multiple loggers.,debuggability,ironic
system_scope,<None>,Scope for system operations,environment,ironic
tenant_id,<None>,Tenant ID,environment,ironic
tenant_name,<None>,Tenant Name,environment,ironic
timeout,<None>,Timeout value for http requests,reliability,ironic
trust_id,<None>,Trust ID,security,ironic
url,<None>,"URL for connecting to cinder. If set, the value must start with either http:// or https://.",environment,ironic
user_domain_id,<None>,User's domain id,environment,ironic
user_domain_name,<None>,User's domain name,environment,ironic
user_id,<None>,User id,environment,ironic
username,<None>,Username,environment,ironic
valid_interfaces,"internal,public","List of interfaces, in order of preference, for endpoint URL.",environment,ironic
version,<None>,Minimum Major API version within a given Major API version for  endpoint URL discovery. Mutually exclusive with min_version and  max_version,environment,ironic
max_retry,6,Number of times a power operation needs to be retried,reliability,ironic
action_interval,5,Amount of time in seconds to wait in between power operations,reliability,ironic
workers_pool_size,100,"The size of the workers greenthread pool. Note that 2 threads will be reserved by the conductor itself for handling heart beats and periodic  tasks. On top of that, sync_power_state_workers will take up to 7 green threads with the default value of 8.",performance,ironic
heartbeat_interval,10,Seconds between conductor heart beats.,reliability,ironic
api_url,<None>,"URL of Ironic API service. If not set ironic can get the current  value from the keystone service catalog. If set, the value must start  with either http:// or https://.",environment,ironic
heartbeat_timeout,60,Maximum time (in seconds) since the last check-in of a conductor. A  conductor is considered inactive when this time has been exceeded.,reliability,ironic
sync_power_state_interval,60,"Interval between syncing the node power state to the database, in seconds. Set to 0 to disable syncing.",reliability,ironic
check_provision_state_interval,60,"Interval between checks of provision timeouts, in seconds. Set to 0 to disable checks.",reliability,ironic
check_rescue_state_interval,60,Interval (seconds) between checks of rescue timeouts.,reliability,ironic
check_allocations_interval,60,"Interval between checks of orphaned allocations, in seconds. Set to 0 to disable checks.",reliability,ironic
deploy_callback_timeout,1800,Timeout (seconds) to wait for a callback from a deploy ramdisk. Set to 0 to disable timeout.,reliability,ironic
force_power_state_during_sync,TRUE,"During sync_power_state, should the hardware power state be set to  the state recorded in the database (True) or should the database be  updated based on the hardware state (False).",manageability,ironic
power_state_sync_max_retries,3,"During sync_power_state failures, limit the number of times Ironic  should try syncing the hardware node power state with the node power  state in DB",reliability,ironic
sync_power_state_workers,8,The maximum number of worker threads that can be started simultaneously to sync nodes power states from the periodic task.,performance,ironic
periodic_max_workers,8,Maximum number of worker threads that can be started simultaneously  by a periodic task. Should be less than RPC thread pool size.,performance,ironic
node_locked_retry_attempts,3,Number of attempts to grab a node lock.,reliability,ironic
node_locked_retry_interval,1,Seconds to sleep between node lock attempts.,reliability,ironic
send_sensor_data,FALSE,Enable sending sensor data message via the notification bus,manageability,ironic
send_sensor_data_interval,600,Seconds between conductor sending sensor data message to ceilometer via the notification bus.,reliability,ironic
send_sensor_data_workers,4,The maximum number of workers that can be started simultaneously for send data from sensors periodic task.,performance,ironic
send_sensor_data_wait_timeout,300,The time in seconds to wait for send sensors data periodic task to be finished before allowing periodic call to happen again. Should be less  than send_sensor_data_interval value.,reliability,ironic
sync_local_state_interval,180,"When conductors join or leave the cluster, existing conductors may  need to update any persistent local state as nodes are moved around the  cluster. This option controls how often, in seconds, each conductor will check for nodes that it should 'take over'. Set it to 0 (or a negative  value) to disable the check entirely.",reliability,ironic
configdrive_swift_container,ironic_configdrive_container,Name of the Swift container to store config drive data. Used when configdrive_use_object_store is True.,environment,ironic
configdrive_swift_temp_url_duration,<None>,"The timeout (in seconds) after which a configdrive temporary URL  becomes invalid. Defaults to deploy_callback_timeout if it is set,  otherwise to 1800 seconds. Used when configdrive_use_object_store is  True.",reliability,ironic
inspect_wait_timeout,1800,Timeout (seconds) for waiting for node inspection. 0 - unlimited.,reliability,ironic
automated_clean,TRUE,"Enables or disables automated cleaning. Automated cleaning is a  configurable set of steps, such as erasing disk drives, that are  performed on the node to ensure it is in a baseline state and ready to  be deployed to. This is done after instance deletion as well as during  the transition from a 'manageable' to 'available' state. When enabled,  the particular steps performed to clean a node depend on which driver  that node is managed by; see the individual driver's documentation for  details. NOTE: The introduction of the cleaning operation causes  instance deletion to take significantly longer. In an environment where  all tenants are trusted (eg, because there is only one tenant), this  option could be safely disabled.",manageability,ironic
clean_callback_timeout,1800,Timeout (seconds) to wait for a callback from the ramdisk doing the  cleaning. If the timeout is reached the node will be put in the 'clean  failed' provision state. Set to 0 to disable timeout.,reliability,ironic
rescue_callback_timeout,1800,Timeout (seconds) to wait for a callback from the rescue ramdisk. If  the timeout is reached the node will be put in the 'rescue failed'  provision state. Set to 0 to disable timeout.,reliability,ironic
soft_power_off_timeout,600,Timeout (in seconds) of soft reboot and soft power off operation. This value always has to be positive.,reliability,ironic
power_state_change_timeout,30,"Number of seconds to wait for power operations to complete, i.e., so  that a baremetal node is in the desired power state. If timed out, the  power operation is considered a failure.",reliability,ironic
power_failure_recovery_interval,300,Interval (in seconds) between checking the power state for nodes  previously put into maintenance mode due to power synchronization  failure. A node is automatically moved out of maintenance mode once its  power state is retrieved successfully. Set to 0 to disable this check.,reliability,ironic
allow_deleting_available_nodes,TRUE,Allow deleting nodes which are in state 'available'. Defaults to True.,security,ironic
terminal,shellinaboxd,Path to serial console terminal program. Used only by Shell In A Box console.,environment,ironic
terminal_cert_dir,<None>,Directory containing the terminal SSL cert (PEM) for serial console access. Used only by Shell In A Box console.,environment,ironic
terminal_pid_dir,<None>,"Directory for holding terminal pid files. If not specified, the temporary directory will be used.",environment,ironic
terminal_timeout,600,Timeout (in seconds) for the terminal session to be closed on  inactivity. Set to 0 to disable timeout. Used only by Socat console.,reliability,ironic
subprocess_checking_interval,1,Time interval (in seconds) for checking the status of console subprocess.,reliability,ironic
subprocess_timeout,10,Time (in seconds) to wait for the console subprocess to start.,reliability,ironic
kill_timeout,1,Time (in seconds) to wait for the shellinabox console subprocess to exit before sending SIGKILL signal.,reliability,ironic
socat_address,$my_ip,IP address of Socat service running on the host of ironic conductor. Used only by Socat console.,environment,ironic
allow_credentials,TRUE,Indicate that the actual request can include user credentials,security,ironic
expose_headers,'',Indicate which headers are safe to expose to the API. Defaults to HTTP Simple Headers.,security,ironic
max_age,3600,Maximum cache age of CORS preflight requests.,performance,ironic
allow_methods,"OPTIONS,GET,HEAD,POST,PUT,DELETE,TRACE,PATCH",Indicate which methods can be used during the actual request.,security,ironic
allow_headers,'',Indicate which header field names may be used during the actual request.,security,ironic
sqlite_synchronous,TRUE,"If True, SQLite uses synchronous mode.",manageability,ironic
backend,sqlalchemy,The back end to use for the database.,environment,ironic
connection,<None>,The SQLAlchemy connection string to use to connect to the database.,environment,ironic
slave_connection,<None>,The SQLAlchemy connection string to use to connect to the slave database.,environment,ironic
mysql_sql_mode,TRADITIONAL,"The SQL mode to be used for MySQL sessions. This option, including  the default, overrides any server-set SQL mode. To use whatever SQL mode is set by the server configuration, set this to no value. Example:  mysql_sql_mode=",manageability,ironic
mysql_enable_ndb,FALSE,"If True, transparently enables support for handling MySQL Cluster (NDB).",manageability,ironic
connection_recycle_time,3600,Connections which have been present in the connection pool longer  than this number of seconds will be replaced with a new one the next  time they are checked out from the pool.,reliability,ironic
min_pool_size,1,Minimum number of SQL connections to keep open in a pool.,performance,ironic
max_pool_size,5,Maximum number of SQL connections to keep open in a pool. Setting a value of 0 indicates no limit.,performance,ironic
max_retries,10,Maximum number of database connection retries during startup. Set to -1 to specify an infinite retry count.,reliability,ironic
retry_interval,10,Interval between retries of opening a SQL connection.,reliability,ironic
connection_debug,0,"Verbosity of SQL debugging information: 0=None, 100=Everything.",debuggability,ironic
connection_trace,FALSE,Add Python stack traces to SQL as comment strings.,debuggability,ironic
pool_timeout,<None>,"If set, use this value for pool_timeout with SQLAlchemy.",reliability,ironic
use_db_reconnect,FALSE,Enable the experimental use of database reconnect on connection lost.,reliability,ironic
db_retry_interval,1,Seconds between retries of a database transaction.,reliability,ironic
db_inc_retry_interval,TRUE,"If True, increases the interval between retries of a database operation up to db_max_retry_interval.",reliability,ironic
db_max_retry_interval,10,"If db_inc_retry_interval is set, the maximum seconds between retries of a database operation.",reliability,ironic
db_max_retries,20,Maximum retries in case of connection error or deadlock error before  error is raised. Set to -1 to specify an infinite retry count.,reliability,ironic
http_url,<None>,ironic-conductor node's HTTP server URL. Example: http://192.1.2.3:8080,environment,ironic
http_root,/httpboot,ironic-conductor node's HTTP root path.,environment,ironic
enable_ata_secure_erase,TRUE,Whether to support the use of ATA Secure Erase during the cleaning process. Defaults to True.,security,ironic
erase_devices_priority,<None>,"Priority to run in-band erase devices via the Ironic Python Agent  ramdisk. If unset, will use the priority set in the ramdisk (defaults to 10 for the GenericHardwareManager). If set to 0, will not run during  cleaning.",security,ironic
erase_devices_metadata_priority,<None>,"Priority to run in-band clean step that erases metadata from devices, via the Ironic Python Agent ramdisk. If unset, will use the priority  set in the ramdisk (defaults to 99 for the GenericHardwareManager). If  set to 0, will not run during cleaning.",security,ironic
shred_final_overwrite_with_zeros,TRUE,Whether to write zeros to a node's block devices after writing random data. This will write zeros to the device even when  deploy.shred_random_overwrite_iterations is 0. This option is only used  if a device could not be ATA Secure Erased. Defaults to True.,security,ironic
continue_if_disk_secure_erase_fails,FALSE,"Defines what to do if an ATA secure erase operation fails during  cleaning in the Ironic Python Agent. If False, the cleaning operation  will fail and the node will be put in clean failed state. If True, shred will be invoked and cleaning will continue.",security,ironic
disk_erasure_concurrency,1,Defines the target pool size used by Ironic Python Agent ramdisk to  erase disk devices. The number of threads created to erase disks will  not exceed this value or the number of disks to be erased.,performance,ironic
power_off_after_deploy_failure,TRUE,Whether to power off a node after deploy failure. Defaults to True.,reliability,ironic
default_boot_option,<None>,"Default boot option to use when no boot option is requested in node's driver_info. Currently the default is 'netboot', but it will be changed to 'local' in the future. It is recommended to set an explicit value  for this option.",manageability,ironic
default_boot_mode,bios,"Default boot mode to use when no boot mode is requested in node's driver_info, capabilities or in the instance_info configuration. Currently the default boot mode is 'bios', but it will  be changed to 'uefi in the future. It is recommended to set an explicit  value for this option. This option only has effect when management  interface supports boot mode management",manageability,ironic
configdrive_use_object_store,FALSE,Whether to upload the config drive to object store. Set this option to True to store config drive in a swift endpoint.,manageability,ironic
http_image_subdir,agent_images,"The name of subdirectory under ironic-conductor node's HTTP root path which is used to place instance images for the direct deploy interface, when local HTTP service is incorporated to provide instance image  instead of swift tempurls.",environment,ironic
fast_track,FALSE,"Whether to allow deployment agents to perform lookup, heartbeat  operations during initial states of a machine lifecycle and by-pass the  normal setup procedures for a ramdisk. This feature also enables power  operations which are part of deployment processes to be bypassed if the  ramdisk has performed a heartbeat operation using the fast_track_timeout setting.",reliability,ironic
fast_track_timeout,300,Seconds for which the last heartbeat event is to be considered valid  for the purpose of a fast track sequence. This setting should generally  be less than the number of seconds for 'Power-On Self Test' and typical  ramdisk start-up. This value should not exceed the  [api]ramdisk_heartbeat_timeout setting.,reliability,ironic
dhcp_provider,neutron,"DHCP provider to use. 'neutron' uses Neutron, and 'none' uses a no-op provider.",environment,ironic
check_device_interval,1,"After Ironic has completed creating the partition table, it continues to check for activity on the attached iSCSI device status at this  interval prior to copying the image to the node, in seconds",reliability,ironic
check_device_max_retries,20,"The maximum number of times to check that the device is not accessed  by another process. If the device is still busy after that, the disk  partitioning will be treated as having failed.",reliability,ironic
efi_system_partition_size,200,Size of EFI system partition in MiB when configuring UEFI systems for local boot.,performance,ironic
bios_boot_partition_size,1,Size of BIOS Boot partition in MiB when configuring GPT partitioned systems for local boot in BIOS.,performance,ironic
dd_block_size,1M,Block size to use when writing to the nodes disk.,performance,ironic
iscsi_verify_attempts,3,"Maximum attempts to verify an iSCSI connection is active, sleeping 1 second between attempts.",reliability,ironic
partprobe_attempts,10,Maximum number of attempts to try to read the partition.,reliability,ironic
query_raid_config_job_status_interval,120,Interval (in seconds) between periodic RAID job status checks to  determine whether the asynchronous RAID configuration was successfully  finished or not.,reliability,ironic
allowed_direct_url_schemes,'',A list of URL schemes that can be downloaded directly via the direct_url.  Currently supported schemes: [file].,security,ironic
auth_url,<None>,Authentication URL,security,ironic
auth_strategy,keystone,Authentication strategy to use when connecting to glance.,security,ironic
auth_type,<None>,Authentication type to load,security,ironic
cafile,<None>,PEM encoded Certificate Authority to use when verifying HTTPs connections.,security,ironic
certfile,<None>,PEM encoded client certificate cert file,security,ironic
collect_timing,FALSE,Collect per-API call timing information.,debuggability,ironic
default_domain_id,<None>,Optional domain ID to use with v3 and v2 parameters. It will be used  for both the user and project domain in v3 and ignored in v2  authentication.,environment,ironic
default_domain_name,<None>,Optional domain name to use with v3 API and v2 parameters. It will be used for both the user and project domain in v3 and ignored in v2  authentication.,environment,ironic
domain_id,<None>,Domain ID to scope to,environment,ironic
domain_name,<None>,Domain name to scope to,environment,ironic
endpoint_override,<None>,"Always use this endpoint URL for requests for this client. NOTE: The  unversioned endpoint should be specified here; to request a particular  API version, use the version, min-version, and/or max-version options.",environment,ironic
glance_api_insecure,FALSE,Allow to perform insecure SSL (https) requests to glance.,security,ironic
glance_api_servers,<None>,A list of the glance api servers available to ironic. Prefix with https:// for SSL-based glance API servers. Format is [hostname|IP]:port.,environment,ironic
glance_cafile,<None>,Optional path to a CA certificate bundle to be used to validate the  SSL certificate served by glance. It is used when glance_api_insecure is set to False.,security,ironic
glance_num_retries,0,Number of retries when downloading an image from glance.,reliability,ironic
insecure,FALSE,Verify HTTPS connections.,security,ironic
keyfile,<None>,PEM encoded client certificate key file,environment,ironic
max_version,<None>,"The maximum major version of a given API, intended to be used as the  upper bound of a range with min_version. Mutually exclusive with  version.",environment,ironic
min_version,<None>,"The minimum major version of a given API, intended to be used as the  lower bound of a range with max_version. Mutually exclusive with  version. If min_version is given with no max_version it is as if max  version is 'latest'.",environment,ironic
password,<None>,User's password,security,ironic
project_domain_id,<None>,Domain ID containing project,environment,ironic
project_domain_name,<None>,Domain name containing project,environment,ironic
project_id,<None>,Project ID to scope to,environment,ironic
project_name,<None>,Project name to scope to,environment,ironic
region_name,<None>,The default region_name for endpoint URL discovery.,environment,ironic
