name,default,description,label
enable_services_on_agents_with_admin_state_down,FALSE,"Enable services on an agent with admin_state_up False. If this option is False, when admin_state_up of an agent is turned False, services on  it will be disabled. Agents with admin_state_up False are not selected  for automatic scheduling regardless of this option. But manual  scheduling to such agents is available if this option is True.",manageability
dvr_base_mac,fa:16:3f:00:00:00,"The base mac address used for unique DVR instances by Neutron. The  first 3 octets will remain unchanged. If the 4th octet is not 00, it  will also be used. The others will be randomly generated. The  'dvr_base_mac' must be different from 'base_mac' to avoid  mixing them up with MAC's allocated for tenant ports. A 4 octet example  would be dvr_base_mac = fa:16:3f:4f:00:00. The default is 3 octet",environment
router_distributed,FALSE,System-wide flag to determine the type of router that tenants can create. Only admin can override.,manageability
enable_dvr,TRUE,"Determine if setup is configured for DVR. If False, DVR API extension will be disabled.",performance
host_dvr_for_dhcp,TRUE,"Flag to determine if hosting a DVR local router to the DHCP agent is  desired. If False, any L3 function supported by the DHCP agent instance  will not be possible, for instance: DNS.",performance
router_scheduler_driver,neutron.scheduler.l3_agent_scheduler.LeastRoutersScheduler,Driver to use for scheduling router to a default L3 agent,environment
router_auto_schedule,TRUE,Allow auto scheduling of routers to L3 agent.,manageability
allow_automatic_l3agent_failover,FALSE,Automatically reschedule routers from offline L3 agents to online L3 agents.,reliability
l3_ha,FALSE,Enable HA mode for virtual routers.,reliability
max_l3_agents_per_router,3,Maximum number of L3 agents which a HA router will be scheduled on.  If it is set to 0 then the router will be scheduled on every agent.,reliability
l3_ha_net_cidr,169.254.192.0/18,Subnet used for the l3 HA admin network.,environment
l3_ha_network_type,'',"The network type to use when creating the HA network for an HA  router. By default or if empty, the first 'tenant_network_types' is  used. This is helpful when the VRRP traffic should use a specific  network which is not the default one.",manageability
l3_ha_network_physical_name,'',The physical network name with which the HA network can be created.,others
max_allowed_address_pair,10,Maximum number of allowed address pairs,reliability
root_helper,sudo,Root helper application. Use 'sudo neutron-rootwrap  /etc/neutron/rootwrap.conf' to use the real root filter facility. Change to 'sudo' to skip the filtering and just run the command directly.,security
use_helper_for_ns_read,TRUE,"Use the root helper when listing the namespaces on a system. This may not be required depending on the security configuration. If the root  helper is not required, set this to False for a performance improvement.",security
root_helper_daemon,<None>,Root helper daemon application to use when possible.,security
report_interval,30,"Seconds between nodes reporting state to server; should be less than  agent_down_time, best if it is half or less than agent_down_time.",reliability
log_agent_heartbeats,FALSE,Log agent heartbeats,reliability
comment_iptables_rules,TRUE,Add comments to iptables rules. Set to false to disallow the addition of comments to generated iptables rules that describe each rule's  purpose. System must support the iptables comments module for addition  of comments.,manageability
debug_iptables_rules,FALSE,Duplicate every iptables difference calculation to ensure the format  being generated matches the format of iptables-save. This option should  not be turned on for production systems because it imposes a performance penalty.,performance
check_child_processes_action,respawn,Action to be executed when a child process dies,reliability
check_child_processes_interval,60,"Interval between checks of child process liveness (seconds), use 0 to disable",reliability
kill_scripts_path,/etc/neutron/kill_scripts/,"Location of scripts used to kill external processes. Names of scripts here must follow the pattern: '<process-name>-kill' where  <process-name> is name of the process which should be killed using this script. For example, kill script for dnsmasq process should be  named 'dnsmasq-kill'. If path is set to None, then default 'kill'  command will be used to stop processes.",environment
availability_zone,nova,Availability zone of this node,manageability
allowed_origin,<None>,"Indicate whether this resource may be shared with the domain received in the requests 'origin' header. Format:  '<protocol>://<host>[:<port>]', no trailing slash.  Example: https://horizon.example.com",manageability
allow_credentials,TRUE,Indicate that the actual request can include user credentials,manageability
expose_headers,"X-Auth-Token,X-Subject-Token,X-Service-Token,X-OpenStack-Request-ID,OpenStack-Volume-microversion",Indicate which headers are safe to expose to the API. Defaults to HTTP Simple Headers.,manageability
max_age,3600,Maximum cache age of CORS preflight requests.,performance
allow_methods,"GET,PUT,POST,DELETE,PATCH",Indicate which methods can be used during the actual request.,manageability
allow_headers,"X-Auth-Token,X-Identity-Status,X-Roles,X-Service-Catalog,X-User-Id,X-Tenant-Id,X-OpenStack-Request-ID",Indicate which header field names may be used during the actual request.,manageability
sqlite_synchronous,TRUE,"If True, SQLite uses synchronous mode.",manageability
backend,sqlalchemy,The back end to use for the database.,environment
connection,<None>,The SQLAlchemy connection string to use to connect to the database.,manageability
slave_connection,<None>,The SQLAlchemy connection string to use to connect to the slave database.,manageability
mysql_sql_mode,TRADITIONAL,"The SQL mode to be used for MySQL sessions. This option, including  the default, overrides any server-set SQL mode. To use whatever SQL mode is set by the server configuration, set this to no value. Example:  mysql_sql_mode=",manageability
mysql_enable_ndb,FALSE,"If True, transparently enables support for handling MySQL Cluster (NDB).",others
connection_recycle_time,3600,Connections which have been present in the connection pool longer  than this number of seconds will be replaced with a new one the next  time they are checked out from the pool.,reliability
min_pool_size,1,Minimum number of SQL connections to keep open in a pool.,performance
max_pool_size,5,Maximum number of SQL connections to keep open in a pool. Setting a value of 0 indicates no limit.,reliability
max_retries,10,Maximum number of database connection retries during startup. Set to -1 to specify an infinite retry count.,reliability
retry_interval,10,Interval between retries of opening a SQL connection.,reliability
max_overflow,50,"If set, use this value for max_overflow with SQLAlchemy.",others
connection_debug,0,"Verbosity of SQL debugging information: 0=None, 100=Everything.",debuggability
connection_trace,FALSE,Add Python stack traces to SQL as comment strings.,debuggability
pool_timeout,<None>,"If set, use this value for pool_timeout with SQLAlchemy.",reliability
use_db_reconnect,FALSE,Enable the experimental use of database reconnect on connection lost.,reliability
db_retry_interval,1,Seconds between retries of a database transaction.,reliability
db_inc_retry_interval,TRUE,"If True, increases the interval between retries of a database operation up to db_max_retry_interval.",reliability
db_max_retry_interval,10,"If db_inc_retry_interval is set, the maximum seconds between retries of a database operation.",reliability
db_max_retries,20,Maximum retries in case of connection error or deadlock error before  error is raised. Set to -1 to specify an infinite retry count.,reliability
connection_parameters,'',Optional URL parameters to append onto the connection URL at connect time; specify as param1=value1&param2=value2&',manageability
engine,'',Database engine for which script will be generated when using offline migration.,environment
www_authenticate_uri,<None>,"Complete 'public' Identity API endpoint. This endpoint should not be  an 'admin' endpoint, as it should be accessible by all end users.  Unauthenticated clients are redirected to this endpoint to authenticate. Although this endpoint should ideally be unversioned, client support in the wild varies. If you're using a versioned v2 endpoint here, then  this should not be the same endpoint the service user utilizes  for validating tokens, because normal end users may not be able to reach that endpoint.",security
auth_uri,<None>,"Complete 'public' Identity API endpoint. This endpoint should not be  an 'admin' endpoint, as it should be accessible by all end users.  Unauthenticated clients are redirected to this endpoint to authenticate. Although this endpoint should ideally be unversioned, client support in the wild varies. If you're using a versioned v2 endpoint here, then  this should not be the same endpoint the service user utilizes  for validating tokens, because normal end users may not be able to reach that endpoint. This option is deprecated in favor of  www_authenticate_uri and will be removed in the S release.",security
auth_version,<None>,API version of the admin Identity API endpoint.,environment
delay_auth_decision,FALSE,"Do not handle authorization requests within the middleware, but  delegate the authorization decision to downstream WSGI components.",security
http_connect_timeout,<None>,Request timeout value for communicating with Identity API server.,reliability
http_request_max_retries,3,How many times are we trying to reconnect when communicating with Identity API Server.,reliability
cache,<None>,"Request environment key where the Swift cache object is stored. When  auth_token middleware is deployed with a Swift cache, use this option to have the middleware share a caching backend with swift. Otherwise, use  the memcached_servers option instead.",performance
certfile,<None>,Required if identity server requires client certificate,security
keyfile,<None>,Required if identity server requires client certificate,security
cafile,<None>,A PEM encoded Certificate Authority to use when verifying HTTPs connections. Defaults to system CAs.,security
insecure,FALSE,Verify HTTPS connections.,security
region_name,<None>,The region in which the identity server can be found.,environment
signing_dir,<None>,Directory used to cache files related to PKI tokens. This option has  been deprecated in the Ocata release and will be removed in the P  release.,security
memcached_servers,<None>,"Optionally specify a list of memcached server(s) to use for caching.  If left undefined, tokens will instead be cached in-process.",performance
token_cache_time,300,"In order to prevent excessive effort spent validating tokens, the  middleware caches previously-seen tokens for a configurable duration (in seconds). Set to -1 to disable caching completely.",performance
memcache_security_strategy,None,"(Optional) If defined, indicate whether token data should be  authenticated or authenticated and encrypted. If MAC, token data is  authenticated (with HMAC) in the cache. If ENCRYPT, token data is  encrypted and authenticated in the cache. If the value is not one of  these options or empty, auth_token will raise an exception on  initialization.",security
memcache_secret_key,<None>,"(Optional, mandatory if memcache_security_strategy is defined) This string is used for key derivation.",security
memcache_pool_dead_retry,300,(Optional) Number of seconds memcached server is considered dead before it is tried again.,reliability
memcache_pool_maxsize,10,(Optional) Maximum total number of open connections to every memcached server.,reliability
memcache_pool_socket_timeout,3,(Optional) Socket timeout in seconds for communicating with a memcached server.,reliability
memcache_pool_unused_timeout,60,(Optional) Number of seconds a connection to memcached is held unused in the pool before it is closed.,reliability
memcache_pool_conn_get_timeout,10,(Optional) Number of seconds that an operation will wait to get a memcached client connection from the pool.,reliability
memcache_use_advanced_pool,FALSE,(Optional) Use the advanced (eventlet safe) memcached client pool. The advanced pool will only work under python 2.x.,reliability
include_service_catalog,TRUE,"(Optional) Indicate whether to set the X-Service-Catalog header. If  False, middleware will not ask for service catalog on token validation  and will not set the X-Service-Catalog header.",manageability
enforce_token_bind,permissive,Used to control the use and type of token binding. Can be set to:  'disabled' to not check token binding. 'permissive' (default) to  validate binding information if the bind type is of a form known to the  server and ignore it if not. 'strict' like 'permissive' but if the bind  type is unknown the token will be rejected. 'required' any form of token binding is needed to be allowed. Finally the name of a binding method  that must be present in tokens.,security
hash_algorithms,md5,"Hash algorithms to use for hashing PKI tokens. This may be a single  algorithm or multiple. The algorithms are those supported by Python  standard hashlib.new(). The hashes will be tried in the order given, so  put the preferred one first for performance. The result of the first  hash will be stored in the cache. This will typically be set to multiple values only while migrating from a less secure algorithm to a more  secure one. Once all the old tokens are expired this option should be  set to a single value for better performance.",performance
service_token_roles,service,A choice of roles that must be present in a service token. Service  tokens are allowed to request that an expired token can be used and so  this check should tightly control that only actual services should be  sending this token. Roles here are applied as an ANY check so any role  in this list must be present. For backwards compatibility reasons this  currently only affects the allow_expired check.,security
service_token_roles_required,FALSE,For backwards compatibility reasons we must let valid service tokens  pass that don't pass the service_token_roles check as valid. Setting  this true will become the default in a future release and should be  enabled if possible.,security
auth_type,<None>,Authentication type to load,security
auth_section,<None>,Config Section from which to load plugin specific options,security
region_name,<None>,Name of nova region to use. Useful if keystone manages more than one region.,others
endpoint_type,public,"Type of the nova endpoint to use.  This endpoint will be looked up in the keystone catalog and should be one of public, internal or admin.",security
auth_url,<None>,Authentication URL,security
auth_type,<None>,Authentication type to load,security
cafile,<None>,PEM encoded Certificate Authority to use when verifying HTTPs connections.,security
certfile,<None>,PEM encoded client certificate cert file,security
collect_timing,FALSE,Collect per-API call timing information.,debuggability
default_domain_id,<None>,Optional domain ID to use with v3 and v2 parameters. It will be used  for both the user and project domain in v3 and ignored in v2  authentication.,environment
default_domain_name,<None>,Optional domain name to use with v3 API and v2 parameters. It will be used for both the user and project domain in v3 and ignored in v2  authentication.,environment
domain_id,<None>,Domain ID to scope to,others
domain_name,<None>,Domain name to scope to,others
insecure,FALSE,Verify HTTPS connections.,security
keyfile,<None>,PEM encoded client certificate key file,security
password,<None>,User's password,security
project_domain_id,<None>,Domain ID containing project,others
project_domain_name,<None>,Domain name containing project,others
project_id,<None>,Project ID to scope to,others
project_name,<None>,Project name to scope to,others
split_loggers,FALSE,Log requests to multiple loggers.,manageability
system_scope,<None>,Scope for system operations,others
tenant_id,<None>,Tenant ID,others
tenant_name,<None>,Tenant Name,others
timeout,<None>,Timeout value for http requests,reliability
trust_id,<None>,Trust ID,security
user_domain_id,<None>,User's domain id,security
user_domain_name,<None>,User's domain name,security
user_id,<None>,User id,security
username,<None>,Username,security
disable_process_locking,FALSE,Enables or disables inter-process locks.,reliability
lock_path,<None>,"Directory to use for lock files.  For security, the specified  directory should only be writable by the user running the processes that need locking. Defaults to environment variable OSLO_LOCK_PATH. If  external locks are used, a lock path must be set.",security
container_name,<None>,Name for the AMQP container. must be globally unique. Defaults to a generated UUID,others
idle_timeout,0,Timeout for inactive connections (in seconds),reliability
trace,FALSE,Debug: dump AMQP frames to stdout,debuggability
ssl,FALSE,"Attempt to connect via SSL. If no other ssl-related parameters are  given, it will use the system's CA-bundle to verify the server's  certificate.",security
ssl_ca_file,'',CA certificate PEM file used to verify the server's certificate,security
ssl_cert_file,'',Self-identifying certificate PEM file for client authentication,security
ssl_key_file,'',Private key PEM file used to sign ssl_cert_file certificate (optional),security
ssl_key_password,<None>,Password for decrypting ssl_key_file (if encrypted),security
ssl_verify_vhost,FALSE,"By default SSL checks that the name in the server's certificate  matches the hostname in the transport_url. In some configurations it may be preferable to use the virtual hostname instead, for example if the  server uses the Server Name Indication TLS extension (rfc6066) to  provide a certificate per virtual host. Set ssl_verify_vhost to True if  the server's SSL certificate uses the virtual host name instead of the  DNS name.",security
sasl_mechanisms,'',Space separated list of acceptable SASL mechanisms,security
sasl_config_dir,'',Path to directory that contains the SASL configuration,security
sasl_config_name,'',Name of configuration file (without .conf suffix),security
sasl_default_realm,'',SASL realm to use if no realm present in username,security
connection_retry_interval,1,Seconds to pause before attempting to re-connect.,reliability
connection_retry_backoff,2,Increase the connection_retry_interval by this many seconds after each unsuccessful failover attempt.,reliability
connection_retry_interval_max,30,Maximum limit for connection_retry_interval + connection_retry_backoff,reliability
link_retry_delay,10,Time to pause between re-connecting an AMQP 1.0 link that failed due to a recoverable error.,reliability
default_reply_retry,0,The maximum number of attempts to re-send a reply message which failed due to a recoverable error.,reliability
default_reply_timeout,30,The deadline for an rpc reply message delivery.,reliability
default_send_timeout,30,The deadline for an rpc cast or call message delivery. Only used when caller does not provide a timeout expiry.,reliability
default_notify_timeout,30,The deadline for a sent notification message delivery. Only used when caller does not provide a timeout expiry.,reliability
default_sender_link_timeout,600,The duration to schedule a purge of idle sender links. Detach link after expiry.,reliability
addressing_mode,dynamic,Indicates the addressing mode used by the driver. Permitted values: 'legacy'   - use legacy non-routable addressing 'routable' - use routable addresses 'dynamic'  - use legacy addresses if the message bus does not support routing otherwise use routable addressing,security
pseudo_vhost,TRUE,"Enable virtual host support for those message buses that do not  natively support virtual hosting (such as qpidd). When set to true the  virtual host name will be added to all message bus addresses,  effectively creating a private 'subnet' per virtual host. Set to False  if the message bus supports virtual hosting using the 'hostname' field  in the AMQP 1.0 Open performative as the name of the virtual host.",security
server_request_prefix,exclusive,address prefix used when sending to a specific server,manageability
broadcast_prefix,broadcast,address prefix used when broadcasting to all servers,manageability
group_request_prefix,unicast,address prefix when sending to any server in group,manageability
rpc_address_prefix,openstack.org/om/rpc,Address prefix for all generated RPC addresses,manageability
notify_address_prefix,openstack.org/om/notify,Address prefix for all generated Notification addresses,manageability
multicast_address,multicast,Appended to the address prefix when sending a fanout message. Used by the message bus to identify fanout messages.,manageability
unicast_address,unicast,Appended to the address prefix when sending to a particular  RPC/Notification server. Used by the message bus to identify messages  sent to a single destination.,environment
anycast_address,anycast,Appended to the address prefix when sending to a group of consumers.  Used by the message bus to identify messages that should be delivered in a round-robin fashion across consumers.,environment
default_notification_exchange,<None>,Exchange name used in notification addresses. Exchange name resolution precedence: Target.exchange if set else default_notification_exchange if set else control_exchange if set else 'notify',others
default_rpc_exchange,<None>,Exchange name used in RPC addresses. Exchange name resolution precedence: Target.exchange if set else default_rpc_exchange if set else control_exchange if set else 'rpc',others
reply_link_credit,200,Window size for incoming RPC Reply messages.,performance
rpc_server_credit,100,Window size for incoming RPC Request messages,performance
notify_server_credit,100,Window size for incoming Notification messages,performance
pre_settled,rpc-cast,Send messages of this type pre-settled. Pre-settled messages will not receive acknowledgement from the peer. Note well: pre-settled messages may be silently discarded if the delivery fails. Permitted values: 'rpc-call' - send RPC Calls pre-settled 'rpc-reply'- send RPC Replies pre-settled 'rpc-cast' - Send RPC Casts pre-settled 'notify'   - Send Notifications pre-settled,others
kafka_max_fetch_bytes,1048576,Max fetch bytes of Kafka consumer,performance
kafka_consumer_timeout,1,Default timeout(s) for Kafka consumers,reliability
pool_size,10,Pool Size for Kafka Consumers,performance
conn_pool_min_size,2,The pool size limit for connections expiration policy,reliability
conn_pool_ttl,1200,The time-to-live in sec of idle connections in the pool,reliability
consumer_group,oslo_messaging_consumer,Group id for Kafka consumer. Consumers in one group will coordinate message consumption,others
producer_batch_timeout,0,Upper bound on the delay for KafkaProducer batching in seconds,reliability
producer_batch_size,16384,Size of batch for the producer async send,performance
enable_auto_commit,FALSE,Enable asynchronous consumer commits,manageability
max_poll_records,500,The maximum number of records returned in a poll call,performance
security_protocol,PLAINTEXT,Protocol used to communicate with brokers,security
sasl_mechanism,PLAIN,Mechanism when security protocol is SASL,security
