name,value,description,label,software
yarn.resourcemanager.admin.client.thread-count,1,Number of threads used to handle RM admin interface.,performance,yarn
yarn.resourcemanager.connect.max-wait.ms,900000,Maximum time to wait to establish connection to ResourceManager.,reliability,yarn
yarn.resourcemanager.connect.retry-interval.ms,30000,How often to try connecting to the ResourceManager.,reliability,yarn
yarn.resourcemanager.am.max-attempts,2,"The maximum number of application attempts. It's a global setting for all application masters. Each application master can specify its individual maximum number of application attempts via the API, but the individual number cannot be more than the global upper bound. If it is, the resourcemanager will override it. The default number is set to 2, to allow at least one retry for AM.",reliability,yarn
yarn.resourcemanager.container.liveness-monitor.interval-ms,600000,How often to check that containers are still alive.,reliability,yarn
yarn.resourcemanager.keytab,/etc/krb5.keytab,The keytab for the resource manager.,environment,yarn
yarn.resourcemanager.webapp.delegation-token-auth-filter.enabled,TRUE,Flag to enable override of the default kerberos authentication filter with the RM authentication filter to allow authentication using delegation tokens(fallback to kerberos if the tokens are missing). Only applicable when the http authentication type is kerberos.,security,yarn
yarn.resourcemanager.webapp.cross-origin.enabled,FALSE,Flag to enable cross-origin (CORS) support in the RM. This flag requires the CORS filter initializer to be added to the filter initializers list in core-site.xml.,others,yarn
yarn.nm.liveness-monitor.expiry-interval-ms,600000,How long to wait until a node manager is considered dead.,reliability,yarn
yarn.resourcemanager.nodes.include-path,,Path to file with nodes to include.,environment,yarn
yarn.resourcemanager.nodes.exclude-path,,Path to file with nodes to exclude.,environment,yarn
yarn.resourcemanager.node-ip-cache.expiry-interval-secs,-1,The expiry interval for node IP caching. -1 disables the caching,reliability,yarn
yarn.resourcemanager.resource-tracker.client.thread-count,50,Number of threads to handle resource tracker calls.,performance,yarn
yarn.resourcemanager.scheduler.class,org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity.CapacityScheduler,The class to use as the resource scheduler.,performance,yarn
yarn.scheduler.minimum-allocation-mb,1024,"The minimum allocation for every container request at the RM in MBs. Memory requests lower than this will be set to the value of this property. Additionally, a node manager that is configured to have less memory than this value will be shut down by the resource manager.",performance,yarn
yarn.scheduler.maximum-allocation-mb,8192,The maximum allocation for every container request at the RM in MBs. Memory requests higher than this will throw an InvalidResourceRequestException.,performance,yarn
yarn.scheduler.minimum-allocation-vcores,1,"The minimum allocation for every container request at the RM in terms of virtual CPU cores. Requests lower than this will be set to the value of this property. Additionally, a node manager that is configured to have fewer virtual cores than this value will be shut down by the resource manager.",performance,yarn
yarn.scheduler.maximum-allocation-vcores,4,The maximum allocation for every container request at the RM in terms of virtual CPU cores. Requests higher than this will throw an InvalidResourceRequestException.,performance,yarn
yarn.scheduler.include-port-in-node-name,FALSE,"Used by node labels. If set to true, the port should be included in the node name. Only usable if your scheduler supports node labels.",manageability,yarn
yarn.resourcemanager.recovery.enabled,FALSE,"Enable RM to recover state after starting. If true, then yarn.resourcemanager.store.class must be specified.",reliability,yarn
yarn.resourcemanager.fail-fast,${yarn.fail-fast},"Should RM fail fast if it encounters any errors. By defalt, it points to ${yarn.fail-fast}. Errors include: 1) exceptions when state-store write/read operations fails.",reliability,yarn
yarn.fail-fast,FALSE,"Should YARN fail fast if it encounters any errors. This is a global config for all other components including RM,NM etc. If no value is set for component-specific config (e.g yarn.resourcemanager.fail-fast), this value will be the default.",reliability,yarn
yarn.resourcemanager.work-preserving-recovery.enabled,TRUE,Enable RM work preserving recovery. This configuration is private to YARN for experimenting the feature.,reliability,yarn
yarn.resourcemanager.work-preserving-recovery.scheduling-wait-ms,10000,"Set the amount of time RM waits before allocating new containers on work-preserving-recovery. Such wait period gives RM a chance to settle down resyncing with NMs in the cluster on recovery, before assigning new containers to applications.",reliability,yarn
yarn.resourcemanager.store.class,org.apache.hadoop.yarn.server.resourcemanager.recovery.FileSystemRMStateStore,"The class to use as the persistent store. If org.apache.hadoop.yarn.server.resourcemanager.recovery.ZKRMStateStore is used, the store is implicitly fenced; meaning a single ResourceManager is able to use the store at any point in time. More details on this implicit fencing, along with setting up appropriate ACLs is discussed under yarn.resourcemanager.zk-state-store.root-node.acl.",others,yarn
yarn.resourcemanager.ha.failover-controller.active-standby-elector.zk.retries,,"When automatic failover is enabled, number of zookeeper operation retry times in ActiveStandbyElector",reliability,yarn
yarn.resourcemanager.state-store.max-completed-applications,${yarn.resourcemanager.max-completed-applications},"The maximum number of completed applications RM state store keeps, less than or equals to ${yarn.resourcemanager.max-completed-applications}. By default, it equals to ${yarn.resourcemanager.max-completed-applications}. This ensures that the applications kept in the state store are consistent with the applications remembered in RM memory. Any values larger than ${yarn.resourcemanager.max-completed-applications} will be reset to ${yarn.resourcemanager.max-completed-applications}. Note that this value impacts the RM recovery performance.Typically, a smaller value indicates better performance on RM recovery.",reliability,yarn
yarn.resourcemanager.zk-state-store.parent-path,/rmstore,Full path of the ZooKeeper znode where RM state will be stored. This must be supplied when using org.apache.hadoop.yarn.server.resourcemanager.recovery.ZKRMStateStore as the value for yarn.resourcemanager.store.class,environment,yarn
yarn.resourcemanager.zk-state-store.root-node.acl,,"ACLs to be used for the root znode when using ZKRMStateStore in an HA scenario for fencing. ZKRMStateStore supports implicit fencing to allow a single ResourceManager write-access to the store. For fencing, the ResourceManagers in the cluster share read-write-admin privileges on the root node, but the Active ResourceManager claims exclusive create-delete permissions. By default, when this property is not set, we use the ACLs from yarn.resourcemanager.zk-acl for shared admin access and rm-address:random-number for username-based exclusive create-delete access. This property allows users to set ACLs of their choice instead of using the default mechanism. For fencing to work, the ACLs should be carefully set differently on each ResourceManger such that all the ResourceManagers have shared admin access and the Active ResourceManger takes over (exclusively) the create-delete access.",security,yarn
yarn.resourcemanager.fs.state-store.uri,${hadoop.tmp.dir}/yarn/system/rmstore,URI pointing to the location of the FileSystem path where RM state will be stored. This must be supplied when using org.apache.hadoop.yarn.server.resourcemanager.recovery.FileSystemRMStateStore as the value for yarn.resourcemanager.store.class,environment,yarn
yarn.resourcemanager.fs.state-store.retry-policy-spec,"2000, 500","hdfs client retry policy specification. hdfs client retry is always enabled. Specified in pairs of sleep-time and number-of-retries and (t0, n0), (t1, n1), ..., the first n0 retries sleep t0 milliseconds on average, the following n1 retries sleep t1 milliseconds on average, and so on.",reliability,yarn
yarn.resourcemanager.fs.state-store.num-retries,0,the number of retries to recover from IOException in FileSystemRMStateStore.,reliability,yarn
yarn.resourcemanager.fs.state-store.retry-interval-ms,1000,Retry interval in milliseconds in FileSystemRMStateStore.,reliability,yarn
yarn.resourcemanager.leveldb-state-store.path,${hadoop.tmp.dir}/yarn/system/rmstore,Local path where the RM state will be stored when using org.apache.hadoop.yarn.server.resourcemanager.recovery.LeveldbRMStateStore as the value for yarn.resourcemanager.store.class,environment,yarn
yarn.resourcemanager.leveldb-state-store.compaction-interval-secs,3600,The time in seconds between full compactions of the leveldb database. Setting the interval to zero disables the full compaction cycles.,reliability,yarn
yarn.resourcemanager.ha.enabled,FALSE,"Enable RM high-availability. When enabled, (1) The RM starts in the Standby mode by default, and transitions to the Active mode when prompted to. (2) The nodes in the RM ensemble are listed in yarn.resourcemanager.ha.rm-ids (3) The id of each RM either comes from yarn.resourcemanager.ha.id if yarn.resourcemanager.ha.id is explicitly specified or can be figured out by matching yarn.resourcemanager.address.{id} with local address (4) The actual physical addresses come from the configs of the pattern - {rpc-config}.{id}",manageability,yarn
yarn.resourcemanager.ha.automatic-failover.enabled,TRUE,"Enable automatic failover. By default, it is enabled only when HA is enabled",reliability,yarn
yarn.resourcemanager.ha.automatic-failover.embedded,TRUE,"Enable embedded automatic failover. By default, it is enabled only when HA is enabled. The embedded elector relies on the RM state store to handle fencing, and is primarily intended to be used in conjunction with ZKRMStateStore.",reliability,yarn
yarn.resourcemanager.ha.automatic-failover.zk-base-path,/yarn-leader-election,"The base znode path to use for storing leader information, when using ZooKeeper based leader election.",environment,yarn
yarn.resourcemanager.zk-appid-node.split-index,0,"Index at which last section of application id (with each section separated by _ in application id) will be split so that application znode stored in zookeeper RM state store will be stored as two different znodes (parent-child). Split is done from the end. For instance, with no split, appid znode will be of the form application_1352994193343_0001. If the value of this config is 1, the appid znode will be broken into two parts application_1352994193343_000 and 1 respectively with former being the parent node. application_1352994193343_0002 will then be stored as 2 under the parent node application_1352994193343_000. This config can take values from 0 to 4. 0 means there will be no split. If configuration value is outside this range, it will be treated as config value of 0(i.e. no split). A value larger than 0 (up to 4) should be configured if you are storing a large number of apps in ZK based RM state store and state store operations are failing due to LenError in Zookeeper.",others,yarn
yarn.resourcemanager.zk-delegation-token-node.split-index,0,"Index at which the RM Delegation Token ids will be split so that the delegation token znodes stored in the zookeeper RM state store will be stored as two different znodes (parent-child). The split is done from the end. For instance, with no split, a delegation token znode will be of the form RMDelegationToken_123456789. If the value of this config is 1, the delegation token znode will be broken into two parts: RMDelegationToken_12345678 and 9 respectively with former being the parent node. This config can take values from 0 to 4. 0 means there will be no split. If the value is outside this range, it will be treated as 0 (i.e. no split). A value larger than 0 (up to 4) should be configured if you are running a large number of applications, with long-lived delegation tokens and state store operations (e.g. failover) are failing due to LenError in Zookeeper.",others,yarn
yarn.resourcemanager.zk-max-znode-size.bytes,1048576,Specifies the maximum size of the data that can be stored in a znode. Value should be same or less than jute.maxbuffer configured in zookeeper. Default value configured is 1MB.,reliability,yarn
yarn.resourcemanager.cluster-id,,"Name of the cluster. In a HA setting, this is used to ensure the RM participates in leader election for this cluster and ensures it does not affect other clusters",others,yarn
yarn.resourcemanager.ha.rm-ids,,The list of RM nodes in the cluster when HA is enabled. See description of yarn.resourcemanager.ha .enabled for full details on how this is used.,manageability,yarn
yarn.resourcemanager.ha.id,,"The id (string) of the current RM. When HA is enabled, this is an optional config. The id of current RM can be set by explicitly specifying yarn.resourcemanager.ha.id or figured out by matching yarn.resourcemanager.address.{id} with local address See description of yarn.resourcemanager.ha.enabled for full details on how this is used.",others,yarn
yarn.client.failover-proxy-provider,org.apache.hadoop.yarn.client.ConfiguredRMFailoverProxyProvider,"When HA is enabled, the class to be used by Clients, AMs and NMs to failover to the Active RM. It should extend org.apache.hadoop.yarn.client.RMFailoverProxyProvider",others,yarn
yarn.client.failover-max-attempts,,"When HA is enabled, the max number of times FailoverProxyProvider should attempt failover. When set, this overrides the yarn.resourcemanager.connect.max-wait.ms. When not set, this is inferred from yarn.resourcemanager.connect.max-wait.ms.",reliability,yarn
yarn.client.failover-sleep-base-ms,,"When HA is enabled, the sleep base (in milliseconds) to be used for calculating the exponential delay between failovers. When set, this overrides the yarn.resourcemanager.connect.* settings. When not set, yarn.resourcemanager.connect.retry-interval.ms is used instead.",reliability,yarn
yarn.client.failover-sleep-max-ms,,"When HA is enabled, the maximum sleep time (in milliseconds) between failovers. When set, this overrides the yarn.resourcemanager.connect.* settings. When not set, yarn.resourcemanager.connect.retry-interval.ms is used instead.",reliability,yarn
yarn.client.failover-retries,0,"When HA is enabled, the number of retries per attempt to connect to a ResourceManager. In other words, it is the ipc.client.connect.max.retries to be used during failover attempts",reliability,yarn
yarn.client.failover-retries-on-socket-timeouts,0,"When HA is enabled, the number of retries per attempt to connect to a ResourceManager on socket timeouts. In other words, it is the ipc.client.connect.max.retries.on.timeouts to be used during failover attempts",reliability,yarn
yarn.resourcemanager.max-completed-applications,10000,The maximum number of completed applications RM keeps.,reliability,yarn
yarn.resourcemanager.delayed.delegation-token.removal-interval-ms,30000,Interval at which the delayed token removal thread runs,reliability,yarn
yarn.resourcemanager.delegation-token.max-conf-size-bytes,12800,"Maximum size in bytes for configurations that can be provided by application to RM for delegation token renewal. By experiment, it's roughly 128 bytes per key-value pair. The default value 12800 allows roughly 100 configs, may be less.",performance,yarn
yarn.resourcemanager.proxy-user-privileges.enabled,FALSE,"If true, ResourceManager will have proxy-user privileges. Use case: In a secure cluster, YARN requires the user hdfs delegation-tokens to do localization and log-aggregation on behalf of the user. If this is set to true, ResourceManager is able to request new hdfs delegation tokens on behalf of the user. This is needed by long-running-service, because the hdfs tokens will eventually expire and YARN requires new valid tokens to do localization and log-aggregation. Note that to enable this use case, the corresponding HDFS NameNode has to configure ResourceManager as the proxy-user so that ResourceManager can itself ask for new tokens on behalf of the user when tokens are past their max-life-time.",security,yarn
yarn.resourcemanager.am-rm-tokens.master-key-rolling-interval-secs,86400,Interval for the roll over for the master key used to generate application tokens,security,yarn
yarn.resourcemanager.container-tokens.master-key-rolling-interval-secs,86400,Interval for the roll over for the master key used to generate container tokens. It is expected to be much greater than yarn.nm.liveness-monitor.expiry-interval-ms and yarn.resourcemanager.rm.container-allocation.expiry-interval-ms. Otherwise the behavior is undefined.,reliability,yarn
yarn.resourcemanager.nodemanagers.heartbeat-interval-ms,1000,The heart-beat interval in milliseconds for every NodeManager in the cluster.,reliability,yarn
yarn.resourcemanager.nodemanager.minimum.version,NONE,"The minimum allowed version of a connecting nodemanager. The valid values are NONE (no version checking), EqualToRM (the nodemanager's version is equal to or greater than the RM version), or a Version String.",environment,yarn
yarn.resourcemanager.scheduler.monitor.enable,FALSE,Enable a set of periodic monitors (specified in yarn.resourcemanager.scheduler.monitor.policies) that affect the scheduler.,performance,yarn
yarn.resourcemanager.scheduler.monitor.policies,org.apache.hadoop.yarn.server.resourcemanager.monitor.capacity.ProportionalCapacityPreemptionPolicy,"The list of SchedulingEditPolicy classes that interact with the scheduler. A particular module may be incompatible with the scheduler, other policies, or a configuration of either.",performance,yarn
yarn.resourcemanager.configuration.provider-class,org.apache.hadoop.yarn.LocalConfigurationProvider,"The class to use as the configuration provider. If org.apache.hadoop.yarn.LocalConfigurationProvider is used, the local configuration will be loaded. If org.apache.hadoop.yarn.FileSystemBasedConfigurationProvider is used, the configuration which will be loaded should be uploaded to remote File system first.",manageability,yarn
yarn.resourcemanager.configuration.file-system-based-store,/yarn/conf,The value specifies the file system (e.g. HDFS) path where ResourceManager loads configuration if yarn.resourcemanager.configuration.provider-class is set to org.apache.hadoop.yarn.FileSystemBasedConfigurationProvider.,environment,yarn
yarn.resourcemanager.system-metrics-publisher.enabled,FALSE,"The setting that controls whether yarn system metrics is published to the Timeline server (version one) or not, by RM. This configuration is now deprecated in favor of yarn.system-metrics-publisher.enabled.",manageability,yarn
yarn.system-metrics-publisher.enabled,FALSE,The setting that controls whether yarn system metrics is published on the Timeline service or not by RM And NM.,manageability,yarn
yarn.rm.system-metrics-publisher.emit-container-events,FALSE,The setting that controls whether yarn container events are published to the timeline service or not by RM. This configuration setting is for ATS V2.,manageability,yarn
yarn.resourcemanager.system-metrics-publisher.dispatcher.pool-size,10,Number of worker threads that send the yarn system metrics data.,performance,yarn
yarn.resourcemanager.max-log-aggregation-diagnostics-in-memory,10,Number of diagnostics/failure messages can be saved in RM for log aggregation. It also defines the number of diagnostics/failure messages can be shown in log aggregation web ui.,debuggability,yarn
yarn.resourcemanager.delegation-token-renewer.thread-count,50,RM DelegationTokenRenewer thread count,others,yarn
yarn.resourcemanager.delegation.key.update-interval,86400000,RM secret key update interval in ms,security,yarn
yarn.resourcemanager.delegation.token.max-lifetime,604800000,RM delegation token maximum lifetime in ms,reliability,yarn
yarn.resourcemanager.delegation.token.renew-interval,86400000,RM delegation token update interval in ms,security,yarn
yarn.resourcemanager.history-writer.multi-threaded-dispatcher.pool-size,10,Thread pool size for RMApplicationHistoryWriter.,performance,yarn
yarn.resourcemanager.metrics.runtime.buckets,"603,001,440",Comma-separated list of values (in minutes) for schedule queue related metrics.,performance,yarn
yarn.resourcemanager.nm-tokens.master-key-rolling-interval-secs,86400,Interval for the roll over for the master key used to generate NodeManager tokens. It is expected to be set to a value much larger than yarn.nm.liveness-monitor.expiry-interval-ms.,reliability,yarn
yarn.resourcemanager.reservation-system.enable,FALSE,Flag to enable the ResourceManager reservation system.,manageability,yarn
yarn.resourcemanager.reservation-system.class,,"The Java class to use as the ResourceManager reservation system. By default, is set to org.apache.hadoop.yarn.server.resourcemanager.reservation.CapacityReservationSystem when using CapacityScheduler and is set to org.apache.hadoop.yarn.server.resourcemanager.reservation.FairReservationSystem when using FairScheduler.",others,yarn
yarn.resourcemanager.reservation-system.plan.follower,,"The plan follower policy class name to use for the ResourceManager reservation system. By default, is set to org.apache.hadoop.yarn.server.resourcemanager.reservation.CapacitySchedulerPlanFollower is used when using CapacityScheduler, and is set to org.apache.hadoop.yarn.server.resourcemanager.reservation.FairSchedulerPlanFollower when using FairScheduler.",others,yarn
yarn.resourcemanager.reservation-system.planfollower.time-step,1000,Step size of the reservation system in ms,manageability,yarn
yarn.resourcemanager.rm.container-allocation.expiry-interval-ms,600000,The expiry interval for a container,reliability,yarn
yarn.nodemanager.hostname,0.0.0.0,The hostname of the NM.,environment,yarn
yarn.nodemanager.address,${yarn.nodemanager.hostname}:0,The address of the container manager in the NM.,environment,yarn
yarn.nodemanager.bind-host,,"The actual address the server will bind to. If this optional address is set, the RPC and webapp servers will bind to this address and the port specified in yarn.nodemanager.address and yarn.nodemanager.webapp.address, respectively. This is most useful for making NM listen to all interfaces by setting to 0.0.0.0.",environment,yarn
yarn.nodemanager.admin-env,MALLOC_ARENA_MAX=$MALLOC_ARENA_MAX,Environment variables that should be forwarded from the NodeManager's environment to the container's.,environment,yarn
yarn.nodemanager.env-whitelist,"JAVA_HOME,HADOOP_COMMON_HOME,HADOOP_HDFS_HOME,HADOOP_CONF_DIR,CLASSPATH_PREPEND_DISTCACHE,HADOOP_YARN_HOME",Environment variables that containers may override rather than use NodeManager's default.,environment,yarn
yarn.nodemanager.container-executor.class,org.apache.hadoop.yarn.server.nodemanager.DefaultContainerExecutor,who will execute(launch) the containers.,manageability,yarn
yarn.nodemanager.container-state-transition-listener.classes,,Comma separated List of container state transition listeners.,manageability,yarn
yarn.nodemanager.container-manager.thread-count,20,Number of threads container manager uses.,performance,yarn
yarn.nodemanager.collector-service.thread-count,5,Number of threads collector service uses.,performance,yarn
yarn.nodemanager.delete.thread-count,4,Number of threads used in cleanup.,performance,yarn
yarn.nodemanager.opportunistic-containers-max-queue-length,0,Max number of OPPORTUNISTIC containers to queue at the nodemanager.,reliability,yarn
yarn.nodemanager.delete.debug-delay-sec,0,"Number of seconds after an application finishes before the nodemanager's DeletionService will delete the application's localized file directory and log directory. To diagnose YARN application problems, set this property's value large enough (for example, to 600 = 10 minutes) to permit examination of these directories. After changing the property's value, you must restart the nodemanager in order for it to have an effect. The roots of YARN applications' work directories is configurable with the yarn.nodemanager.local-dirs property (see below), and the roots of the YARN applications' log directories is configurable with the yarn.nodemanager.log-dirs property (see also below).",reliability,yarn
yarn.nodemanager.keytab,/etc/krb5.keytab,Keytab for NM.,environment,yarn
yarn.nodemanager.local-dirs,${hadoop.tmp.dir}/nm-local-dir,"List of directories to store localized files in. An application's localized file directory will be found in: ${yarn.nodemanager.local-dirs}/usercache/${user}/appcache/application_${appid}. Individual containers' work directories, called container_${contid}, will be subdirectories of this.",environment,yarn
yarn.nodemanager.local-cache.max-files-per-directory,8192,"It limits the maximum number of files which will be localized in a single local directory. If the limit is reached then sub-directories will be created and new files will be localized in them. If it is set to a value less than or equal to 36 [which are sub-directories (0-9 and then a-z)] then NodeManager will fail to start. For example; [for public cache] if this is configured with a value of 40 ( 4 files + 36 sub-directories) and the local-dir is ""/tmp/local-dir1"" then it will allow 4 files to be created directly inside ""/tmp/local-dir1/filecache"". For files that are localized further it will create a sub-directory ""0"" inside ""/tmp/local-dir1/filecache"" and will localize files inside it until it becomes full. If a file is removed from a sub-directory that is marked full, then that sub-directory will be used back again to localize files.",reliability,yarn
yarn.nodemanager.localizer.address,${yarn.nodemanager.hostname}:8040,Address where the localizer IPC is.,environment,yarn
yarn.nodemanager.collector-service.address,${yarn.nodemanager.hostname}:8048,Address where the collector service IPC is.,environment,yarn
yarn.nodemanager.localizer.cache.cleanup.interval-ms,600000,Interval in between cache cleanups.,performance,yarn
yarn.nodemanager.localizer.cache.target-size-mb,10240,"Target size of localizer cache in MB, per nodemanager. It is a target retention size that only includes resources with PUBLIC and PRIVATE visibility and excludes resources with APPLICATION visibility",performance,yarn
yarn.nodemanager.localizer.client.thread-count,5,Number of threads to handle localization requests.,performance,yarn
yarn.nodemanager.localizer.fetch.thread-count,4,Number of threads to use for localization fetching.,performance,yarn
yarn.nodemanager.log-dirs,${yarn.log.dir}/userlogs,"Where to store container logs. An application's localized log directory will be found in ${yarn.nodemanager.log-dirs}/application_${appid}. Individual containers' log directories will be below this, in directories named container_{$contid}. Each container directory will contain the files stderr, stdin, and syslog generated by that container.",environment,yarn
yarn.nodemanager.default-container-executor.log-dirs.permissions,710,The permissions settings used for the creation of container directories when using DefaultContainerExecutor. This follows standard user/group/all permissions format.,security,yarn
yarn.log-aggregation-enable,FALSE,"Whether to enable log aggregation. Log aggregation collects each container's logs and moves these logs onto a file-system, for e.g. HDFS, after the application completes. Users can configure the ""yarn.nodemanager.remote-app-log-dir"" and ""yarn.nodemanager.remote-app-log-dir-suffix"" properties to determine where these logs are moved to. Users can access the logs via the Application Timeline Server.",debuggability,yarn
yarn.log-aggregation.retain-seconds,-1,How long to keep aggregation logs before deleting them. -1 disables. Be careful set this too small and you will spam the name node.,reliability,yarn
yarn.log-aggregation.retain-check-interval-seconds,-1,How long to wait between aggregated log retention checks. If set to 0 or a negative value then the value is computed as one-tenth of the aggregated log retention time. Be careful set this too small and you will spam the name node.,reliability,yarn
yarn.log-aggregation.file-formats,TFile,"Specify which log file controllers we will support. The first file controller we add will be used to write the aggregated logs. This comma separated configuration will work with the configuration: yarn.log-aggregation.file-controller.%s.class which defines the supported file controller's class. By default, the TFile controller would be used. The user could override this configuration by adding more file controllers. To support back-ward compatibility, make sure that we always add TFile file controller.",manageability,yarn
yarn.log-aggregation.file-controller.TFile.class,org.apache.hadoop.yarn.logaggregation.filecontroller.tfile.LogAggregationTFileController,Class that supports TFile read and write operations.,others,yarn
yarn.log-aggregation-status.time-out.ms,600000,"How long for ResourceManager to wait for NodeManager to report its log aggregation status. If waiting time of which the log aggregation status is reported from NodeManager exceeds the configured value, RM will report log aggregation status for this NodeManager as TIME_OUT",reliability,yarn
yarn.nodemanager.log.retain-seconds,10800,Time in seconds to retain user logs. Only applicable if log aggregation is disabled,reliability,yarn
yarn.nodemanager.remote-app-log-dir,/tmp/logs,Where to aggregate logs to.,environment,yarn
yarn.nodemanager.remote-app-log-dir-suffix,logs,The remote log dir will be created at {yarn.nodemanager.remote-app-log-dir}/${user}/{thisParam},environment,yarn
yarn.nodemanager.log-container-debug-info.enabled,FALSE,"Generate additional logs about container launches. Currently, this creates a copy of the launch script and lists the directory contents of the container work dir. When listing directory contents, we follow symlinks to a max-depth of 5(including symlinks which point to outside the container work dir) which may lead to a slowness in launching containers.",debuggability,yarn
yarn.nodemanager.resource.memory-mb,-1,"Amount of physical memory, in MB, that can be allocated for containers. If set to -1 and yarn.nodemanager.resource.detect-hardware-capabilities is true, it is automatically calculated(in case of Windows and Linux). In other cases, the default is 8192MB.",performance,yarn
yarn.nodemanager.resource.system-reserved-memory-mb,-1,"Amount of physical memory, in MB, that is reserved for non-YARN processes. This configuration is only used if yarn.nodemanager.resource.detect-hardware-capabilities is set to true and yarn.nodemanager.resource.memory-mb is -1. If set to -1, this amount is calculated as 20% of (system memory - 2*HADOOP_HEAPSIZE)",performance,yarn
yarn.nodemanager.pmem-check-enabled,TRUE,Whether physical memory limits will be enforced for containers.,reliability,yarn
yarn.nodemanager.vmem-check-enabled,TRUE,Whether virtual memory limits will be enforced for containers.,reliability,yarn
yarn.nodemanager.vmem-pmem-ratio,2.1,"Ratio between virtual memory to physical memory when setting memory limits for containers. Container allocations are expressed in terms of physical memory, and virtual memory usage is allowed to exceed this allocation by this ratio.",performance,yarn
yarn.nodemanager.resource.cpu-vcores,-1,"Number of vcores that can be allocated for containers. This is used by the RM scheduler when allocating resources for containers. This is not used to limit the number of CPUs used by YARN containers. If it is set to -1 and yarn.nodemanager.resource.detect-hardware-capabilities is true, it is automatically determined from the hardware in case of Windows and Linux. In other cases, number of vcores is 8 by default.",performance,yarn
yarn.nodemanager.resource.count-logical-processors-as-cores,FALSE,Flag to determine if logical processors(such as hyperthreads) should be counted as cores. Only applicable on Linux when yarn.nodemanager.resource.cpu-vcores is set to -1 and yarn.nodemanager.resource.detect-hardware-capabilities is true.,performance,yarn
yarn.nodemanager.resource.pcores-vcores-multiplier,1,Multiplier to determine how to convert phyiscal cores to vcores. This value is used if yarn.nodemanager.resource.cpu-vcores is set to -1(which implies auto-calculate vcores) and yarn.nodemanager.resource.detect-hardware-capabilities is set to true. The number of vcores will be calculated as number of CPUs * multiplier.,performance,yarn
